layer,train_accuracy,test_accuracy,train_auroc,test_auroc,mean_train_logit,mean_test_logit,train_rows,test_rows
0,0.5694444444444444,0.5833333333333334,0.4853395061728395,0.5208333333333334,-0.5271239876747131,-1.0936636924743652,72,24
1,1.0,1.0,1.0,1.0,-0.3835020065307617,0.21988964080810547,72,24
2,1.0,0.9583333333333334,1.0,1.0,-0.5403263568878174,-0.5707770586013794,72,24
3,1.0,0.9583333333333334,1.0,0.9375,-0.4253227412700653,-1.008952260017395,72,24
4,1.0,0.9583333333333334,1.0,0.9375,-0.29532548785209656,-0.7249639630317688,72,24
5,1.0,0.9583333333333334,1.0,0.9861111111111112,-0.252458781003952,-0.8099142909049988,72,24
6,1.0,0.9583333333333334,1.0,0.9375,-0.28537261486053467,-1.4082978963851929,72,24
7,1.0,0.9583333333333334,1.0,0.9375,-0.012147903442382812,-1.0938383340835571,72,24
8,1.0,0.9583333333333334,1.0,0.9930555555555556,-0.12601174414157867,-1.0017074346542358,72,24
9,1.0,0.9583333333333334,1.0,0.9375,0.010759036056697369,-1.2733678817749023,72,24
10,1.0,0.9583333333333334,1.0,0.9236111111111112,-0.0004376305441837758,-1.8948227167129517,72,24
11,1.0,0.9583333333333334,1.0,0.9444444444444444,-0.0033672121353447437,-1.5615559816360474,72,24
12,1.0,0.9583333333333334,1.0,0.9791666666666666,0.08606359362602234,-0.7811579704284668,72,24
13,1.0,0.9583333333333334,1.0,0.9930555555555556,-0.005215538665652275,-1.6072001457214355,72,24
14,1.0,0.9583333333333334,1.0,0.9861111111111112,0.0051667955704033375,-1.8859425783157349,72,24
15,1.0,0.9583333333333334,1.0,0.9861111111111112,-0.004265573341399431,-1.6493043899536133,72,24
16,1.0,0.9583333333333334,1.0,0.9513888888888888,0.006519211456179619,-1.4712028503417969,72,24
17,1.0,0.9583333333333334,1.0,0.9861111111111112,0.20991802215576172,-1.0275907516479492,72,24
18,1.0,0.9583333333333334,1.0,0.9861111111111112,0.4369175136089325,-0.7264450192451477,72,24
19,1.0,0.9583333333333334,1.0,0.9930555555555556,0.5294344425201416,-0.7124403119087219,72,24
20,1.0,0.9583333333333334,1.0,0.9930555555555556,0.3308316469192505,-0.8615677952766418,72,24
21,1.0,0.9583333333333334,1.0,0.9861111111111112,-2.225239995823358e-06,-1.0501471757888794,72,24
22,1.0,0.9583333333333334,1.0,0.9861111111111112,0.004752900917083025,-1.0238863229751587,72,24
23,1.0,0.9583333333333334,1.0,0.9861111111111112,-0.0008669958915561438,-0.9039832949638367,72,24
24,1.0,0.9583333333333334,1.0,0.9861111111111112,0.005459891632199287,-0.7798370718955994,72,24
25,1.0,0.9583333333333334,1.0,0.9930555555555556,0.3608334958553314,-0.5892698168754578,72,24
26,1.0,0.9583333333333334,1.0,0.9861111111111112,0.002897156635299325,-1.0636825561523438,72,24
27,1.0,0.9583333333333334,1.0,0.9930555555555556,-0.0033740997314453125,-1.159475326538086,72,24
28,1.0,0.9583333333333334,1.0,0.9930555555555556,-0.003570556640625,-1.1973512172698975,72,24
29,1.0,0.9583333333333334,1.0,0.9930555555555556,0.3426397144794464,-0.7759780287742615,72,24
30,1.0,0.9583333333333334,1.0,0.9930555555555556,0.3183239698410034,-0.8343582153320312,72,24
31,1.0,0.9583333333333334,1.0,0.9930555555555556,0.01618565432727337,-1.474769949913025,72,24
