trace_target_layer,trace_target_resid_kind,basis_label,layer,head,pair_idx,pair_indicator,benign_filename,malicious_filename,benign_projection,malicious_projection,delta_projection
13,pre,mean_delta,12,0,87,Invoke-WebRequest,4058.ps1,1362__seed_62bd78f5d825__invoke_webrequest_alias.ps1,-0.01512908935546875,0.040863037109375,0.05599212646484375
13,pre,mean_delta,12,1,87,Invoke-WebRequest,4058.ps1,1362__seed_62bd78f5d825__invoke_webrequest_alias.ps1,0.019622802734375,0.0352783203125,0.015655517578125
13,pre,mean_delta,12,2,87,Invoke-WebRequest,4058.ps1,1362__seed_62bd78f5d825__invoke_webrequest_alias.ps1,0.0022907257080078125,0.049224853515625,0.04693412780761719
13,pre,mean_delta,12,3,87,Invoke-WebRequest,4058.ps1,1362__seed_62bd78f5d825__invoke_webrequest_alias.ps1,0.022735595703125,0.0172271728515625,-0.0055084228515625
13,pre,mean_delta,12,4,87,Invoke-WebRequest,4058.ps1,1362__seed_62bd78f5d825__invoke_webrequest_alias.ps1,-0.0809326171875,-0.06103515625,0.0198974609375
13,pre,mean_delta,12,5,87,Invoke-WebRequest,4058.ps1,1362__seed_62bd78f5d825__invoke_webrequest_alias.ps1,0.0257568359375,0.0791015625,0.0533447265625
13,pre,mean_delta,12,6,87,Invoke-WebRequest,4058.ps1,1362__seed_62bd78f5d825__invoke_webrequest_alias.ps1,-0.019561767578125,-0.01187896728515625,0.00768280029296875
13,pre,mean_delta,12,7,87,Invoke-WebRequest,4058.ps1,1362__seed_62bd78f5d825__invoke_webrequest_alias.ps1,0.0037708282470703125,0.003910064697265625,0.0001392364501953125
13,pre,mean_delta,12,8,87,Invoke-WebRequest,4058.ps1,1362__seed_62bd78f5d825__invoke_webrequest_alias.ps1,-0.0065460205078125,0.00038433074951171875,0.006930351257324219
13,pre,mean_delta,12,9,87,Invoke-WebRequest,4058.ps1,1362__seed_62bd78f5d825__invoke_webrequest_alias.ps1,-0.10540771484375,-0.08953857421875,0.015869140625
13,pre,mean_delta,12,10,87,Invoke-WebRequest,4058.ps1,1362__seed_62bd78f5d825__invoke_webrequest_alias.ps1,-0.0171051025390625,-0.01214599609375,0.0049591064453125
13,pre,mean_delta,12,11,87,Invoke-WebRequest,4058.ps1,1362__seed_62bd78f5d825__invoke_webrequest_alias.ps1,0.02081298828125,0.028778076171875,0.007965087890625
13,pre,mean_delta,12,12,87,Invoke-WebRequest,4058.ps1,1362__seed_62bd78f5d825__invoke_webrequest_alias.ps1,0.0186004638671875,-0.059326171875,-0.0779266357421875
13,pre,mean_delta,12,13,87,Invoke-WebRequest,4058.ps1,1362__seed_62bd78f5d825__invoke_webrequest_alias.ps1,0.001575469970703125,0.0181884765625,0.016613006591796875
13,pre,mean_delta,12,14,87,Invoke-WebRequest,4058.ps1,1362__seed_62bd78f5d825__invoke_webrequest_alias.ps1,0.007167816162109375,0.00640106201171875,-0.000766754150390625
13,pre,mean_delta,12,15,87,Invoke-WebRequest,4058.ps1,1362__seed_62bd78f5d825__invoke_webrequest_alias.ps1,0.033172607421875,0.1387939453125,0.105621337890625
13,pre,mean_delta,12,16,87,Invoke-WebRequest,4058.ps1,1362__seed_62bd78f5d825__invoke_webrequest_alias.ps1,-0.01197052001953125,-0.0135650634765625,-0.00159454345703125
13,pre,mean_delta,12,17,87,Invoke-WebRequest,4058.ps1,1362__seed_62bd78f5d825__invoke_webrequest_alias.ps1,-0.0017805099487304688,0.00220489501953125,0.003985404968261719
13,pre,mean_delta,12,18,87,Invoke-WebRequest,4058.ps1,1362__seed_62bd78f5d825__invoke_webrequest_alias.ps1,0.003757476806640625,0.00452423095703125,0.000766754150390625
13,pre,mean_delta,12,19,87,Invoke-WebRequest,4058.ps1,1362__seed_62bd78f5d825__invoke_webrequest_alias.ps1,-0.0020999908447265625,0.0005197525024414062,0.0026197433471679688
13,pre,mean_delta,12,20,87,Invoke-WebRequest,4058.ps1,1362__seed_62bd78f5d825__invoke_webrequest_alias.ps1,-0.00598907470703125,-0.019683837890625,-0.01369476318359375
13,pre,mean_delta,12,21,87,Invoke-WebRequest,4058.ps1,1362__seed_62bd78f5d825__invoke_webrequest_alias.ps1,-0.023651123046875,0.00853729248046875,0.03218841552734375
13,pre,mean_delta,12,22,87,Invoke-WebRequest,4058.ps1,1362__seed_62bd78f5d825__invoke_webrequest_alias.ps1,-0.01263427734375,-0.0028247833251953125,0.009809494018554688
13,pre,mean_delta,12,23,87,Invoke-WebRequest,4058.ps1,1362__seed_62bd78f5d825__invoke_webrequest_alias.ps1,0.004528045654296875,0.02801513671875,0.023487091064453125
13,pre,mean_delta,12,24,87,Invoke-WebRequest,4058.ps1,1362__seed_62bd78f5d825__invoke_webrequest_alias.ps1,0.03009033203125,0.033111572265625,0.003021240234375
13,pre,mean_delta,12,25,87,Invoke-WebRequest,4058.ps1,1362__seed_62bd78f5d825__invoke_webrequest_alias.ps1,0.01015472412109375,0.01690673828125,0.00675201416015625
13,pre,mean_delta,12,26,87,Invoke-WebRequest,4058.ps1,1362__seed_62bd78f5d825__invoke_webrequest_alias.ps1,0.033782958984375,0.049072265625,0.015289306640625
13,pre,mean_delta,12,27,87,Invoke-WebRequest,4058.ps1,1362__seed_62bd78f5d825__invoke_webrequest_alias.ps1,-0.01441192626953125,-0.013153076171875,0.00125885009765625
13,pre,mean_delta,12,28,87,Invoke-WebRequest,4058.ps1,1362__seed_62bd78f5d825__invoke_webrequest_alias.ps1,-0.022552490234375,0.007556915283203125,0.030109405517578125
13,pre,mean_delta,12,29,87,Invoke-WebRequest,4058.ps1,1362__seed_62bd78f5d825__invoke_webrequest_alias.ps1,-0.00707244873046875,-0.006557464599609375,0.000514984130859375
13,pre,mean_delta,12,30,87,Invoke-WebRequest,4058.ps1,1362__seed_62bd78f5d825__invoke_webrequest_alias.ps1,0.007232666015625,0.0078277587890625,0.0005950927734375
