pair_idx,pair_indicator,malicious_filename,n_indicator_tokens,base_logit_diff,ablated_logit_diff,logit_diff_delta,resid_l2_sensitivity,resid_cosine_similarity
239,FromBase64String,fa2y/malicious_samples/18e8ab49b90eed2ac39d90318f74a03a17bc68e0f872df251722838c27e70040-obf-out-compressedcommand.ps1,12,2.46875,2.109375,-0.359375,1.2958984375,0.986328125
241,FromBase64String,git_53.ps1,6,5.078125,3.3125,-1.765625,0.88232421875,0.99365234375
242,FromBase64String,fa2y/malicious_samples/689ef586030f08e6211a2d41774c754ea79cf70c02c33e41c85902675811e45e.ps1,4,1.375,3.71875,2.34375,0.8193359375,0.99462890625
243,FromBase64String,fa2y/malicious_samples/0f85c95c4523ebdc36170b40983b8b87d13b7d9cc0d6fc07833f0d7eac753509.ps1,10,0.859375,1.265625,0.40625,1.177734375,0.98876953125
244,FromBase64String,fa2y/malicious_samples/fbc38f612dfe98d432c4c89baf3af966f94d5f655e961032b0d7dc1dbc4ee986.ps1,10,3.59375,2.578125,-1.015625,1.0087890625,0.9921875
245,FromBase64String,fa2y/malicious_samples/5174ad7e592b238bc346dda34260b2d173ba101613da5487f2c3d75af23af5ec.ps1,10,3.4375,1.84375,-1.59375,1.0302734375,0.9912109375
247,FromBase64String,fa2y/malicious_samples/3c7475adb1490d29ac16a1a723f3a7c8cbd24fd78fe2a2fbdc1fb07f9fbf65d0.ps1,20,7.328125,9.2890625,1.9609375,1.583984375,0.97900390625
248,FromBase64String,fa2y/malicious_samples/53219d031421df8283f90845ce406ea2a4300cbc0af07136ac3ab6e9bd07b085.ps1,6,2.703125,2.390625,-0.3125,1.1513671875,0.9892578125
249,FromBase64String,fa2y/malicious_samples/170d4801dbfd7d0933467b7a309240d943b57a106e8e7bbf8283d7fa379089a1.ps1,10,2.125,1.5,-0.625,1.02734375,0.99169921875
250,FromBase64String,fa2y/malicious_samples/93b9220639021cb8755213b2369503667fecca7b1e311d5a97483b4f017c60f4.ps1,4,0.046875,0.703125,0.65625,0.8369140625,0.994140625
251,FromBase64String,fa2y/malicious_samples/52164309bdf96b5089a7087b59a107d724f8fcc59c3280b7d5223a8d4092d3d9.ps1,6,3.25,-0.140625,-3.390625,2.779296875,0.93310546875
253,FromBase64String,fa2y/malicious_samples/b0260d51963f7503f819711925e02e1ce26b6495a852d69401ee05a6b43cbe9a.ps1,10,2.890625,2.1875,-0.703125,1.09375,0.990234375
254,FromBase64String,fa2y/malicious_samples/891359bc9a0a11c4210a8cb37a3db2ce11ce31c67e80ee4c52489ea62cc8df77.ps1,6,5.796875,3.484375,-2.3125,1.6025390625,0.978515625
255,FromBase64String,fa2y/malicious_samples/3430a2524562462081821d4a8a2740959f646a77c6ccc3dcc803b03b645cb2ea.ps1,4,-0.6376953125,-0.7998046875,-0.162109375,1.3994140625,0.9833984375
257,FromBase64String,fa2y/malicious_samples/95fc5c0111c074add13893cc4b7b7ad2e5212a2abdbb6d96a305931a8fe5aa12.ps1,4,0.60791015625,0.341796875,-0.26611328125,1.912109375,0.9697265625
259,FromBase64String,fa2y/malicious_samples/045fbe1653f85ae22751b118a9d991fdd815b9dd4991d9e519bfc219da7a7cb6.ps1,12,4.0078125,3.876953125,-0.130859375,1.0400390625,0.98779296875
260,FromBase64String,fa2y/malicious_samples/f9a2b7fad1b59c274188ba5f3a9a15a771540cd4835caec67a5b89f76adb590f.ps1,12,4.0078125,3.876953125,-0.130859375,1.0400390625,0.98779296875
262,FromBase64String,fa2y/malicious_samples/595a91a3c66bac6ec002004d8e5a786402c25a97c4e16fce195b8b802fe3d19b.ps1,4,3.421875,3.421875,0.0,0.0,1.0
263,FromBase64String,fa2y/malicious_samples/06e92e80d62a58b7e4bd45de90c791cd638261feb3467f2b66844126fd92839d.ps1,12,-0.154296875,-0.154296875,0.0,0.0,1.0
264,FromBase64String,fa2y/malicious_samples/8b5014a82242be12f57feb30b6bb68e9670eb2619d789b6332a7a8ee8e5b7dbe.ps1,4,-0.62646484375,-0.62646484375,0.0,0.0,1.0
265,FromBase64String,fa2y/bazaar_out/58c562a4ce0bec25f7495b7b97e3faf527ac2a150bed7da54bbe3b7dfa5a68ec.ps1,4,3.783203125,3.67578125,-0.107421875,3.41015625,0.9208984375
267,FromBase64String,fa2y/malicious_samples/5b30714e29810d3d798c2f537b390013ddf2119027d4e15cba1ad503380bdba1.ps1,4,-0.62646484375,-0.62646484375,0.0,0.0,1.0
268,FromBase64String,fa2y/malicious_samples/b946ddcdde8348a74a47ffca60160ff81f34614e7616082c21ea372139effff1.ps1,20,1.5048828125,1.328125,-0.1767578125,1.4345703125,0.982421875
270,FromBase64String,fa2y/malicious_samples/cb38f72c7961c9342563f8a49cd042c2320b05c3233a70cce1223e03ac944dc6.ps1,4,-2.68359375,-2.68359375,0.0,0.0,1.0
271,IEX,fa2y/malicious_samples/f55369c6d50c5a57c0a54c0d1a1560c0601e17f08d64f94a0fea9eed9768beae.ps1,2,0.796875,1.828125,1.03125,3.73046875,0.89501953125
272,IEX,fa2y/malicious_samples/93a790e0a65d0a47a7988e81f069c4c7044802c50848735dcaf0f6b0ef921dcd.ps1,2,0.96875,2.765625,1.796875,3.541015625,0.904296875
273,IEX,784.ps1,2,0.359375,-0.09375,-0.453125,2.53125,0.953125
276,IEX,2752.ps1,2,0.6875,0.09375,-0.59375,3.02734375,0.9326171875
277,IEX,fa2y/malicious_samples/26493876411716e344173fdfd39aa4e85e740361f53b92ef17eba897890c50e4.ps1,2,0.546875,0.0625,-0.484375,3.001953125,0.93359375
278,IEX,fa2y/malicious_samples/96d6a9c601102cb92802dfc3f8774cdc26fd778e1968de2eca6d0a4d2a873b4e.ps1,2,0.34375,-0.15625,-0.5,2.97265625,0.93505859375
281,IEX,fa2y/malicious_samples/417a0be8ef6073897f81fa6912d3a203a9aea432e16af30fe32376671cfa0d44.ps1,2,3.0625,3.625,0.5625,1.880859375,0.97314453125
282,IEX,fa2y/malicious_samples/94601fc7759612cc1ce13844d6c26cd3ac2e547a1c96e87ae4e2b87a1c2c57e1.ps1,2,4.5,4.109375,-0.390625,1.9521484375,0.9716796875
283,IEX,fa2y/malicious_samples/c6fa4b3ca516e95393f00f9a52fee1723aa5b8dbf2241abf933bb2a04f4c93b2-obf-out-obfuscatedtokencommand.ps1,2,5.0,5.703125,0.703125,1.255859375,0.98779296875
284,IEX,fa2y/malicious_samples/57444d33e423ceed45e79f12208fa085e3cb041e3deb904f1c5404f4774cf20e.ps1,4,5.203125,-1.328125,-6.53125,3.751953125,0.8798828125
286,IEX,fa2y/bazaar_out/60432d413022568476a12ceb8f9c03b5db0feecb794241a2eccf3b2f7cc4ea72.ps1,2,8.0625,7.96875,-0.09375,1.1328125,0.98974609375
287,IEX,fa2y/malicious_samples/927dbf8e34afe2ca1e73bb4bf1f2072149c0426654a225620711f3a22b1427e6.ps1,2,7.25,6.59375,-0.65625,0.9228515625,0.9931640625
288,IEX,fa2y/malicious_samples/c2b36b85912beb182bdb10571c4b2ec6547bf14c5b074a56e779643882d0ca75.ps1,2,5.3125,7.6875,2.375,1.0986328125,0.9912109375
289,IEX,fa2y/malicious_samples/e6268aa465a623be3d90f4bebd5719954a9bfb7bdbb2fdb06607221bb548521c.ps1,8,4.703125,5.703125,1.0,1.20703125,0.98876953125
291,IEX,fa2y/malicious_samples/2d336ee677f040b0c8138cf4a69b78d4e3ae1f99dbd83327f013df6a1d28fe8a.ps1,8,6.203125,7.6875,1.484375,1.2216796875,0.98828125
292,IEX,fa2y/malicious_samples/5921fbf975020277efb4018858252ba81765a3bbeedf1b67061691faf6f4f6da.ps1,8,6.375,8.4921875,2.1171875,1.26953125,0.9873046875
293,IEX,fa2y/malicious_samples/7ce62c06be515c4e3e45f855d4ffd3d03cb6f9d78d7387e397881f5cedeb6ce5.ps1,8,6.34375,8.328125,1.984375,1.2578125,0.98779296875
296,IEX,fa2y/malicious_samples/74e957d7f0163caf1a06bb336673f8fc3a4c8a41a0f7c03efac5de8193e982c5.ps1,2,3.953125,3.265625,-0.6875,1.08984375,0.98974609375
297,IEX,fa2y/malicious_samples/ec422df6e413a605e4fe0aa309e7d1c5fa193fa9487472ea6a82a1aa98cf3aee.ps1,2,3.453125,2.84375,-0.609375,1.083984375,0.990234375
298,IEX,fa2y/malicious_samples/c01517adb31ce7c35e2341bd0d22c9ff1c57ba430ca47aaf8b955e56a1861279.ps1,4,5.265625,7.5625,2.296875,2.17578125,0.9609375
299,IEX,fa2y/malicious_samples/c31125114cef9984b769bdeae4f265a1553aeb8a6c826df122b66658c31ad5b8.ps1,2,4.328125,3.46875,-0.859375,0.75,0.99560546875
