pair_idx,layer,neuron,contribution_delta,malicious_contribution,benign_contribution
61,0,2540,0.0003456567646935582,-5.398679058998823e-05,-0.00039964355528354645
61,0,1068,0.0002768314443528652,-7.587671279907227e-05,-0.0003527081571519375
61,0,7183,0.00022513559088110924,-0.00032169977203011513,-0.0005468353629112244
61,0,3675,0.00022360729053616524,0.00042980979196727276,0.00020620250143110752
61,0,10931,0.0002084663137793541,-0.00044551026076078415,-0.0006539765745401382
61,0,3896,0.00020748376846313477,0.0008668601512908936,0.0006593763828277588
61,0,3101,0.00019502072245813906,-2.8892973205074668e-05,-0.00022391369566321373
61,0,10925,0.00019244116265326738,0.0005202502943575382,0.00032780913170427084
61,0,8523,0.00019068067194893956,3.791128983721137e-05,-0.0001527693821117282
61,0,5917,0.00018835297669284046,0.00024451129138469696,5.6158314691856503e-05
61,0,8230,0.00018306204583495855,-9.160430636256933e-05,-0.0002746663521975279
61,0,744,0.0001815063296817243,-0.00020526087610051036,-0.00038676720578223467
61,0,5766,0.00018138857558369637,-0.00022376538254320621,-0.0004051539581269026
61,0,2898,0.00018022937001660466,6.22254447080195e-05,-0.00011800392530858517
61,0,6574,0.0001799433521227911,4.819135938305408e-05,-0.00013175199273973703
61,0,3247,0.0001758858561515808,-0.0005525266751646996,-0.0007284125313162804
61,0,12449,0.00016632955521345139,-0.0006371145136654377,-0.0008034440688788891
61,0,6504,0.000161117990501225,3.697990905493498e-05,-0.00012413808144629002
61,0,7356,0.0001603621058166027,-0.00041997991502285004,-0.0005803420208394527
61,0,5457,0.0001593555061845109,4.435928713064641e-05,-0.00011499621905386448
61,0,10566,-0.0007060215575620532,1.1759009794332087e-05,0.0007177805528044701
61,0,11112,-0.0003478000871837139,0.0003705869894474745,0.0007183870766311884
61,0,11579,-0.00027129764202982187,-0.00025637063663452864,1.492701267125085e-05
61,0,5853,-0.0002506626769900322,0.00017830287106335163,0.00042896554805338383
61,0,4533,-0.00023908574075903744,-2.787540142890066e-05,0.00021121033933013678
61,0,4685,-0.00023877527564764023,-0.0007646027952432632,-0.000525827519595623
61,0,8986,-0.00022482220083475113,0.00010289531201124191,0.00032771751284599304
61,0,10898,-0.00021153839770704508,0.00024119194131344557,0.00045273033902049065
61,0,258,-0.00020487385336309671,0.0003187136026099324,0.0005235874559730291
61,0,1822,-0.00019494059961289167,-0.0001526337582617998,4.230684135109186e-05
