layer,head,pair_count,mean_delta,max_delta,min_delta,flip_rate
12,15,74,-0.3051097972972973,0.0625,-0.765625,0.12162162162162163
12,4,74,-0.4518581081081081,1.25,-2.15625,0.0
12,5,74,-0.36782094594594594,0.328125,-0.953125,0.0
0,11,74,-0.14442567567567569,1.015625,-1.578125,0.0
