layer,head,base_logit_diff,patched_logit_diff,delta_logit_diff,effect_pct,pair_idx,pair_indicator,benign_filename,malicious_filename,base_benign_logit_diff,flip_to_benign
12,2,3.59375,3.5,-0.09375,-2.608695652173913,48,FromBase64String,1444.ps1,1298.ps1,-3.421875,False
0,11,3.59375,3.53125,-0.0625,-1.7391304347826086,48,FromBase64String,1444.ps1,1298.ps1,-3.421875,False
12,4,3.59375,0.0625,-3.53125,-98.26086956521739,49,FromBase64String,1444.ps1,2546.ps1,-3.421875,False
12,5,3.59375,2.9375,-0.65625,-18.26086956521739,49,FromBase64String,1444.ps1,2546.ps1,-3.421875,False
12,15,3.59375,3.03125,-0.5625,-15.65217391304348,49,FromBase64String,1444.ps1,2546.ps1,-3.421875,False
12,28,3.59375,3.109375,-0.484375,-13.478260869565217,49,FromBase64String,1444.ps1,2546.ps1,-3.421875,False
12,2,3.59375,3.5,-0.09375,-2.608695652173913,49,FromBase64String,1444.ps1,2546.ps1,-3.421875,False
0,11,3.59375,3.53125,-0.0625,-1.7391304347826086,49,FromBase64String,1444.ps1,2546.ps1,-3.421875,False
12,4,3.59375,0.0625,-3.53125,-98.26086956521739,50,FromBase64String,1444.ps1,905.ps1,-3.421875,False
12,5,3.59375,2.9375,-0.65625,-18.26086956521739,50,FromBase64String,1444.ps1,905.ps1,-3.421875,False
12,15,3.59375,3.03125,-0.5625,-15.65217391304348,50,FromBase64String,1444.ps1,905.ps1,-3.421875,False
12,28,3.59375,3.109375,-0.484375,-13.478260869565217,50,FromBase64String,1444.ps1,905.ps1,-3.421875,False
12,2,3.59375,3.5,-0.09375,-2.608695652173913,50,FromBase64String,1444.ps1,905.ps1,-3.421875,False
0,11,3.59375,3.53125,-0.0625,-1.7391304347826086,50,FromBase64String,1444.ps1,905.ps1,-3.421875,False
12,4,8.046875,0.6875,-7.359375,-91.45631067961165,51,FromBase64String,1670.ps1,2139.ps1,-4.75,False
12,5,8.046875,6.765625,-1.28125,-15.922330097087379,51,FromBase64String,1670.ps1,2139.ps1,-4.75,False
12,28,8.046875,7.359375,-0.6875,-8.54368932038835,51,FromBase64String,1670.ps1,2139.ps1,-4.75,False
12,15,8.046875,7.6875,-0.359375,-4.466019417475728,51,FromBase64String,1670.ps1,2139.ps1,-4.75,False
0,11,8.046875,7.78125,-0.265625,-3.300970873786408,51,FromBase64String,1670.ps1,2139.ps1,-4.75,False
12,2,8.046875,7.84375,-0.203125,-2.524271844660194,51,FromBase64String,1670.ps1,2139.ps1,-4.75,False
12,4,5.046875,0.03125,-5.015625,-99.38080495356037,52,FromBase64String,1670.ps1,2792.ps1,-4.75,False
12,5,5.046875,3.734375,-1.3125,-26.006191950464398,52,FromBase64String,1670.ps1,2792.ps1,-4.75,False
12,28,5.046875,4.25,-0.796875,-15.789473684210526,52,FromBase64String,1670.ps1,2792.ps1,-4.75,False
12,15,5.046875,4.625,-0.421875,-8.359133126934983,52,FromBase64String,1670.ps1,2792.ps1,-4.75,False
12,2,5.046875,4.875,-0.171875,-3.4055727554179565,52,FromBase64String,1670.ps1,2792.ps1,-4.75,False
0,11,5.046875,5.671875,0.625,12.38390092879257,52,FromBase64String,1670.ps1,2792.ps1,-4.75,False
12,4,0.6875,-0.171875,-0.859375,-125.0,53,IEX,1637.ps1,2752.ps1,-2.15625,True
0,11,0.6875,0.015625,-0.671875,-97.72727272727273,53,IEX,1637.ps1,2752.ps1,-2.15625,False
12,28,0.6875,0.21875,-0.46875,-68.18181818181817,53,IEX,1637.ps1,2752.ps1,-2.15625,False
12,5,0.6875,0.421875,-0.265625,-38.63636363636363,53,IEX,1637.ps1,2752.ps1,-2.15625,False
12,2,0.6875,0.5625,-0.125,-18.181818181818183,53,IEX,1637.ps1,2752.ps1,-2.15625,False
12,15,0.6875,0.984375,0.296875,43.18181818181818,53,IEX,1637.ps1,2752.ps1,-2.15625,False
12,4,0.625,-0.15625,-0.78125,-125.0,54,IEX,1637.ps1,2115.ps1,-2.15625,True
12,28,0.625,0.1875,-0.4375,-70.0,54,IEX,1637.ps1,2115.ps1,-2.15625,False
0,11,0.625,0.328125,-0.296875,-47.5,54,IEX,1637.ps1,2115.ps1,-2.15625,False
12,5,0.625,0.359375,-0.265625,-42.5,54,IEX,1637.ps1,2115.ps1,-2.15625,False
12,2,0.625,0.609375,-0.015625,-2.5,54,IEX,1637.ps1,2115.ps1,-2.15625,False
12,15,0.625,0.90625,0.28125,45.0,54,IEX,1637.ps1,2115.ps1,-2.15625,False
12,4,0.359375,-0.34375,-0.703125,-195.65217391304347,56,IEX,1637.ps1,784.ps1,-2.15625,True
12,28,0.359375,0.078125,-0.28125,-78.26086956521739,56,IEX,1637.ps1,784.ps1,-2.15625,False
12,5,0.359375,0.125,-0.234375,-65.21739130434783,56,IEX,1637.ps1,784.ps1,-2.15625,False
0,11,0.359375,0.234375,-0.125,-34.78260869565217,56,IEX,1637.ps1,784.ps1,-2.15625,False
12,2,0.359375,0.296875,-0.0625,-17.391304347826086,56,IEX,1637.ps1,784.ps1,-2.15625,False
12,15,0.359375,0.65625,0.296875,82.6086956521739,56,IEX,1637.ps1,784.ps1,-2.15625,False
12,4,0.6875,-0.3125,-1.0,-145.45454545454547,57,IEX,1634.ps1,2752.ps1,-3.328125,True
0,11,0.6875,0.296875,-0.390625,-56.81818181818182,57,IEX,1634.ps1,2752.ps1,-3.328125,False
12,5,0.6875,0.3125,-0.375,-54.54545454545454,57,IEX,1634.ps1,2752.ps1,-3.328125,False
12,28,0.6875,0.5,-0.1875,-27.27272727272727,57,IEX,1634.ps1,2752.ps1,-3.328125,False
