rank,token_pos,token_str,token_id,attention_weight,pair_idx,script_label,pair_indicator,prompt_len_tokens
3,52,'\n',198,0.068487,89,malicious,Invoke-WebRequest,81
4,10,' as',439,0.052716,89,malicious,Invoke-WebRequest,81
5,78,'`\n',4077,0.050145,89,malicious,Invoke-WebRequest,81
6,0,'You',2675,0.04823,89,malicious,Invoke-WebRequest,81
7,54,'-',12,0.044768,89,malicious,Invoke-WebRequest,81
8,69,' c',272,0.028005,89,malicious,Invoke-WebRequest,81
9,61,'.pl',8022,0.023632,89,malicious,Invoke-WebRequest,81
10,79,'Answer',16533,0.021496,89,malicious,Invoke-WebRequest,81
11,74,'me',2727,0.018625,89,malicious,Invoke-WebRequest,81
12,80,':',25,0.01739,89,malicious,Invoke-WebRequest,81
13,48,':\n',512,0.017087,89,malicious,Invoke-WebRequest,81
14,72,'\\',59,0.015901,89,malicious,Invoke-WebRequest,81
0,247,'we',906,0.080001,89,benign,Invoke-WebRequest,258
1,244,'.s',516,0.056632,89,benign,Invoke-WebRequest,258
2,201,' -',482,0.037503,89,benign,Invoke-WebRequest,258
3,249,'.net',5181,0.036298,89,benign,Invoke-WebRequest,258
4,251,'/d',3529,0.036021,89,benign,Invoke-WebRequest,258
5,213,'we',906,0.035304,89,benign,Invoke-WebRequest,258
6,255,'`\n',4077,0.034836,89,benign,Invoke-WebRequest,258
7,224,'\n\n\n',1432,0.028609,89,benign,Invoke-WebRequest,258
8,212,'.azure',71340,0.027882,89,benign,Invoke-WebRequest,258
9,250,'/api',10729,0.025515,89,benign,Invoke-WebRequest,258
10,197,'\n\n\n',1432,0.023353,89,benign,Invoke-WebRequest,258
11,199,'-',12,0.021398,89,benign,Invoke-WebRequest,258
12,193,' -',482,0.019463,89,benign,Invoke-WebRequest,258
13,190,' $',400,0.019101,89,benign,Invoke-WebRequest,258
14,215,'.net',5181,0.015977,89,benign,Invoke-WebRequest,258
