family,variant_count,evasion_successes,evasion_success_rate,mean_variant_logit_diff,mean_seed_logit_diff,mean_logit_delta_vs_seed
keyword_hiding,22,4,0.18181818181818182,1.1534090909090908,1.0305397727272727,0.12286931818181818
string_construction,24,0,0.0,2.2447916666666665,1.318359375,0.9264322916666666
