patch_label,layer,resid_kind,subspace_dim,base_logit_diff,patched_logit_diff,delta_logit_diff,effect_pct,basis_label,basis_mode,pair_idx,pair_indicator,benign_filename,malicious_filename,flip_to_benign
contrastive_pre13_mean_delta,13,pre,1,-1.21875,-1.6875,-0.46875,-38.46153846153847,mean_delta,single,86,Invoke-WebRequest,3784.ps1,1362__seed_94c9b9d4d0af__invoke_webrequest_alias.ps1,True
contrastive_pre13_logit_readout,13,pre,1,-1.21875,-1.234375,-0.015625,-1.282051282051282,logit_readout,single,86,Invoke-WebRequest,3784.ps1,1362__seed_94c9b9d4d0af__invoke_webrequest_alias.ps1,True
contrastive_pre13_all,13,pre,2,-1.21875,-1.6875,-0.46875,-38.46153846153847,mean_delta+logit_readout,all,86,Invoke-WebRequest,3784.ps1,1362__seed_94c9b9d4d0af__invoke_webrequest_alias.ps1,True
contrastive_pre13_mean_delta,13,pre,1,-1.21875,-1.671875,-0.453125,-37.17948717948718,mean_delta,single,87,Invoke-WebRequest,4058.ps1,1362__seed_62bd78f5d825__invoke_webrequest_alias.ps1,True
contrastive_pre13_logit_readout,13,pre,1,-1.21875,-1.21875,0.0,0.0,logit_readout,single,87,Invoke-WebRequest,4058.ps1,1362__seed_62bd78f5d825__invoke_webrequest_alias.ps1,True
contrastive_pre13_all,13,pre,2,-1.21875,-1.671875,-0.453125,-37.17948717948718,mean_delta+logit_readout,all,87,Invoke-WebRequest,4058.ps1,1362__seed_62bd78f5d825__invoke_webrequest_alias.ps1,True
contrastive_pre13_mean_delta,13,pre,1,-1.21875,-1.671875,-0.453125,-37.17948717948718,mean_delta,single,88,Invoke-WebRequest,3104.ps1,1362__seed_e20ff31d1bd4__invoke_webrequest_alias.ps1,True
contrastive_pre13_logit_readout,13,pre,1,-1.21875,-1.21875,0.0,0.0,logit_readout,single,88,Invoke-WebRequest,3104.ps1,1362__seed_e20ff31d1bd4__invoke_webrequest_alias.ps1,True
contrastive_pre13_all,13,pre,2,-1.21875,-1.671875,-0.453125,-37.17948717948718,mean_delta+logit_readout,all,88,Invoke-WebRequest,3104.ps1,1362__seed_e20ff31d1bd4__invoke_webrequest_alias.ps1,True
