layer,head,pair_count,mean_delta,max_delta,min_delta,flip_rate
12,4,74,-2.6297508445945947,0.5625,-7.3671875,0.32432432432432434
12,5,74,-0.6075802364864865,0.03125,-1.390625,0.12162162162162163
0,11,74,-0.3271748310810811,0.796875,-1.984375,0.10810810810810811
12,15,74,-0.41247888513513514,0.375,-1.484375,0.05405405405405406
