layer,head,base_logit_diff,ablated_logit_diff,delta_logit_diff,effect_pct,pair_idx,pair_indicator,benign_filename,malicious_filename,base_benign_logit_diff,flip_to_benign
12,4,8.0703125,7.296875,-0.7734375,-9.583736689254598,51,FromBase64String,1670.ps1,2139.ps1,-4.75,False
12,15,8.0703125,7.578125,-0.4921875,-6.098741529525654,51,FromBase64String,1670.ps1,2139.ps1,-4.75,False
12,5,5.078125,4.125,-0.953125,-18.76923076923077,52,FromBase64String,1670.ps1,2792.ps1,-4.75,False
12,15,5.078125,4.3125,-0.765625,-15.076923076923077,52,FromBase64String,1670.ps1,2792.ps1,-4.75,False
12,4,5.078125,5.125,0.046875,0.9230769230769231,52,FromBase64String,1670.ps1,2792.ps1,-4.75,False
0,11,5.078125,6.09375,1.015625,20.0,52,FromBase64String,1670.ps1,2792.ps1,-4.75,False
0,11,0.71875,0.21875,-0.5,-69.56521739130434,53,IEX,1637.ps1,2752.ps1,-2.15625,False
12,5,0.71875,0.578125,-0.140625,-19.565217391304348,53,IEX,1637.ps1,2752.ps1,-2.15625,False
12,15,0.71875,0.75,0.03125,4.3478260869565215,53,IEX,1637.ps1,2752.ps1,-2.15625,False
12,4,0.71875,1.296875,0.578125,80.43478260869566,53,IEX,1637.ps1,2752.ps1,-2.15625,False
0,11,0.65625,0.34375,-0.3125,-47.61904761904761,54,IEX,1637.ps1,2115.ps1,-2.15625,False
12,5,0.65625,0.5625,-0.09375,-14.285714285714285,54,IEX,1637.ps1,2115.ps1,-2.15625,False
12,15,0.65625,0.71875,0.0625,9.523809523809524,54,IEX,1637.ps1,2115.ps1,-2.15625,False
12,4,0.65625,1.171875,0.515625,78.57142857142857,54,IEX,1637.ps1,2115.ps1,-2.15625,False
0,11,0.390625,0.25,-0.140625,-36.0,56,IEX,1637.ps1,784.ps1,-2.15625,False
12,5,0.390625,0.3125,-0.078125,-20.0,56,IEX,1637.ps1,784.ps1,-2.15625,False
12,15,0.390625,0.4375,0.046875,12.0,56,IEX,1637.ps1,784.ps1,-2.15625,False
12,4,0.390625,0.734375,0.34375,88.0,56,IEX,1637.ps1,784.ps1,-2.15625,False
0,11,0.71875,0.21875,-0.5,-69.56521739130434,57,IEX,1634.ps1,2752.ps1,-3.328125,False
12,5,0.71875,0.578125,-0.140625,-19.565217391304348,57,IEX,1634.ps1,2752.ps1,-3.328125,False
12,15,0.71875,0.75,0.03125,4.3478260869565215,57,IEX,1634.ps1,2752.ps1,-3.328125,False
12,4,0.71875,1.296875,0.578125,80.43478260869566,57,IEX,1634.ps1,2752.ps1,-3.328125,False
0,11,0.65625,0.34375,-0.3125,-47.61904761904761,58,IEX,1634.ps1,2115.ps1,-3.328125,False
12,5,0.65625,0.5625,-0.09375,-14.285714285714285,58,IEX,1634.ps1,2115.ps1,-3.328125,False
12,15,0.65625,0.71875,0.0625,9.523809523809524,58,IEX,1634.ps1,2115.ps1,-3.328125,False
12,4,0.65625,1.171875,0.515625,78.57142857142857,58,IEX,1634.ps1,2115.ps1,-3.328125,False
0,11,0.390625,0.25,-0.140625,-36.0,60,IEX,1634.ps1,784.ps1,-3.328125,False
12,5,0.390625,0.3125,-0.078125,-20.0,60,IEX,1634.ps1,784.ps1,-3.328125,False
12,15,0.390625,0.4375,0.046875,12.0,60,IEX,1634.ps1,784.ps1,-3.328125,False
12,4,0.390625,0.734375,0.34375,88.0,60,IEX,1634.ps1,784.ps1,-3.328125,False
12,4,10.5703125,9.6875,-0.8828125,-8.35181079083518,81,Invoke-WebRequest,3784.ps1,3834.ps1,-3.28125,False
12,5,10.5703125,9.859375,-0.7109375,-6.72579453067258,81,Invoke-WebRequest,3784.ps1,3834.ps1,-3.28125,False
0,11,10.5703125,10.265625,-0.3046875,-2.882483370288248,81,Invoke-WebRequest,3784.ps1,3834.ps1,-3.28125,False
12,15,10.5703125,10.3125,-0.2578125,-2.4390243902439024,81,Invoke-WebRequest,3784.ps1,3834.ps1,-3.28125,False
12,4,10.5703125,9.6875,-0.8828125,-8.35181079083518,82,Invoke-WebRequest,4058.ps1,3834.ps1,-3.140625,False
12,5,10.5703125,9.859375,-0.7109375,-6.72579453067258,82,Invoke-WebRequest,4058.ps1,3834.ps1,-3.140625,False
0,11,10.5703125,10.265625,-0.3046875,-2.882483370288248,82,Invoke-WebRequest,4058.ps1,3834.ps1,-3.140625,False
12,15,10.5703125,10.3125,-0.2578125,-2.4390243902439024,82,Invoke-WebRequest,4058.ps1,3834.ps1,-3.140625,False
12,4,10.5703125,9.6875,-0.8828125,-8.35181079083518,83,Invoke-WebRequest,3104.ps1,3834.ps1,-2.59375,False
12,5,10.5703125,9.859375,-0.7109375,-6.72579453067258,83,Invoke-WebRequest,3104.ps1,3834.ps1,-2.59375,False
0,11,10.5703125,10.265625,-0.3046875,-2.882483370288248,83,Invoke-WebRequest,3104.ps1,3834.ps1,-2.59375,False
12,15,10.5703125,10.3125,-0.2578125,-2.4390243902439024,83,Invoke-WebRequest,3104.ps1,3834.ps1,-2.59375,False
12,4,10.5703125,9.6875,-0.8828125,-8.35181079083518,84,Invoke-WebRequest,896.ps1,3834.ps1,-3.234375,False
12,5,10.5703125,9.859375,-0.7109375,-6.72579453067258,84,Invoke-WebRequest,896.ps1,3834.ps1,-3.234375,False
0,11,10.5703125,10.265625,-0.3046875,-2.882483370288248,84,Invoke-WebRequest,896.ps1,3834.ps1,-3.234375,False
12,15,10.5703125,10.3125,-0.2578125,-2.4390243902439024,84,Invoke-WebRequest,896.ps1,3834.ps1,-3.234375,False
12,15,0.15625,-0.078125,-0.234375,-150.0,86,Invoke-WebRequest,3784.ps1,1362.ps1,-3.28125,True
12,5,0.15625,0.046875,-0.109375,-70.0,86,Invoke-WebRequest,3784.ps1,1362.ps1,-3.28125,False
12,4,0.15625,0.171875,0.015625,10.0,86,Invoke-WebRequest,3784.ps1,1362.ps1,-3.28125,False
0,11,0.15625,0.328125,0.171875,110.00000000000001,86,Invoke-WebRequest,3784.ps1,1362.ps1,-3.28125,False
12,15,0.15625,-0.078125,-0.234375,-150.0,87,Invoke-WebRequest,4058.ps1,1362.ps1,-3.140625,True
12,5,0.15625,0.046875,-0.109375,-70.0,87,Invoke-WebRequest,4058.ps1,1362.ps1,-3.140625,False
12,4,0.15625,0.171875,0.015625,10.0,87,Invoke-WebRequest,4058.ps1,1362.ps1,-3.140625,False
0,11,0.15625,0.328125,0.171875,110.00000000000001,87,Invoke-WebRequest,4058.ps1,1362.ps1,-3.140625,False
12,15,0.15625,-0.078125,-0.234375,-150.0,88,Invoke-WebRequest,3104.ps1,1362.ps1,-2.59375,True
12,5,0.15625,0.046875,-0.109375,-70.0,88,Invoke-WebRequest,3104.ps1,1362.ps1,-2.59375,False
12,4,0.15625,0.171875,0.015625,10.0,88,Invoke-WebRequest,3104.ps1,1362.ps1,-2.59375,False
0,11,0.15625,0.328125,0.171875,110.00000000000001,88,Invoke-WebRequest,3104.ps1,1362.ps1,-2.59375,False
12,15,0.15625,-0.078125,-0.234375,-150.0,89,Invoke-WebRequest,896.ps1,1362.ps1,-3.234375,True
12,5,0.15625,0.046875,-0.109375,-70.0,89,Invoke-WebRequest,896.ps1,1362.ps1,-3.234375,False
12,4,0.15625,0.171875,0.015625,10.0,89,Invoke-WebRequest,896.ps1,1362.ps1,-3.234375,False
0,11,0.15625,0.328125,0.171875,110.00000000000001,89,Invoke-WebRequest,896.ps1,1362.ps1,-3.234375,False
12,4,10.5703125,9.6875,-0.8828125,-8.35181079083518,91,Invoke-WebRequest,773.ps1,3834.ps1,-3.734375,False
