layer,head,pair_count,mean_delta,max_delta,min_delta,flip_rate
12,4,74,-2.6224662162162162,0.578125,-7.359375,0.32432432432432434
12,5,74,-0.6066300675675675,0.0625,-1.390625,0.12162162162162163
12,15,74,-0.40783361486486486,0.390625,-1.46875,0.05405405405405406
12,2,74,-0.060705236486486486,0.25,-0.40625,0.013513513513513514
