layer,head,pair_count,mean_delta,max_delta,min_delta,flip_rate
12,15,74,-0.3059543918918919,0.09375,-0.765625,0.12162162162162163
12,28,74,-0.05004222972972973,0.328125,-0.765625,0.02702702702702703
12,4,74,-0.4594594594594595,1.234375,-2.15625,0.0
12,5,74,-0.36972128378378377,0.328125,-0.953125,0.0
0,11,74,-0.12595016891891891,1.0625,-1.578125,0.0
