pair_indicator,n,mean_l2_sensitivity,mean_logit_diff_delta,mean_base_logit_diff,mean_n_indicator_tokens
DownloadFile,146,2.703031357020548,-2.0859910102739727,6.143996147260274,8.075342465753424
DownloadString,43,1.8645871184593024,-0.7363735465116279,4.447311046511628,9.883720930232558
IEX,25,1.79310546875,-0.0546875,3.86795654296875,3.2
Invoke-WebRequest,19,1.6609786184210527,1.1283408717105263,3.020096628289474,10.736842105263158
Invoke-Expression,18,1.535400390625,-0.024956597222222224,1.4668511284722223,8.333333333333334
-EncodedCommand,7,1.3968331473214286,0.15457589285714285,4.021344866071429,8.0
FromBase64String,35,1.2216378348214285,-0.3722516741071429,2.4096958705357143,8.257142857142858
