layer,head,base_logit_diff,patched_logit_diff,delta_logit_diff,effect_pct,pair_idx,pair_indicator,benign_filename,malicious_filename,base_benign_logit_diff,flip_to_benign
12,15,5.515625,4.859375,-0.65625,-11.89801699716714,14,DownloadFile,2670.ps1,1946.ps1,-1.4375,False
12,5,5.515625,4.859375,-0.65625,-11.89801699716714,14,DownloadFile,2670.ps1,1946.ps1,-1.4375,False
0,11,5.515625,5.21875,-0.296875,-5.382436260623229,14,DownloadFile,2670.ps1,1946.ps1,-1.4375,False
12,4,1.75,0.15625,-1.59375,-91.07142857142857,15,DownloadFile,2670.ps1,3426.ps1,-1.4375,False
12,15,1.75,1.171875,-0.578125,-33.035714285714285,15,DownloadFile,2670.ps1,3426.ps1,-1.4375,False
0,11,1.75,1.34375,-0.40625,-23.214285714285715,15,DownloadFile,2670.ps1,3426.ps1,-1.4375,False
12,5,1.75,1.46875,-0.28125,-16.071428571428573,15,DownloadFile,2670.ps1,3426.ps1,-1.4375,False
12,4,7.484375,4.0625,-3.421875,-45.72025052192067,16,DownloadFile,2670.ps1,1693.ps1,-1.4375,False
12,15,7.484375,6.640625,-0.84375,-11.273486430062631,16,DownloadFile,2670.ps1,1693.ps1,-1.4375,False
0,11,7.484375,6.75,-0.734375,-9.812108559498958,16,DownloadFile,2670.ps1,1693.ps1,-1.4375,False
12,5,7.484375,6.78125,-0.703125,-9.394572025052192,16,DownloadFile,2670.ps1,1693.ps1,-1.4375,False
12,4,5.9375,2.484375,-3.453125,-58.15789473684211,17,DownloadFile,2670.ps1,179.ps1,-1.4375,False
12,15,5.9375,4.453125,-1.484375,-25.0,17,DownloadFile,2670.ps1,179.ps1,-1.4375,False
0,11,5.9375,4.75,-1.1875,-20.0,17,DownloadFile,2670.ps1,179.ps1,-1.4375,False
12,5,5.9375,5.3125,-0.625,-10.526315789473683,17,DownloadFile,2670.ps1,179.ps1,-1.4375,False
12,4,5.328125,2.390625,-2.9375,-55.13196480938416,18,DownloadFile,2670.ps1,2294.ps1,-1.4375,False
12,15,5.328125,4.65625,-0.671875,-12.609970674486803,18,DownloadFile,2670.ps1,2294.ps1,-1.4375,False
12,5,5.328125,4.671875,-0.65625,-12.316715542521994,18,DownloadFile,2670.ps1,2294.ps1,-1.4375,False
0,11,5.328125,5.015625,-0.3125,-5.865102639296188,18,DownloadFile,2670.ps1,2294.ps1,-1.4375,False
12,4,3.34375,0.875,-2.46875,-73.83177570093457,19,DownloadFile,2670.ps1,2713.ps1,-1.4375,False
0,11,3.34375,2.375,-0.96875,-28.971962616822427,19,DownloadFile,2670.ps1,2713.ps1,-1.4375,False
12,15,3.34375,2.390625,-0.953125,-28.504672897196258,19,DownloadFile,2670.ps1,2713.ps1,-1.4375,False
12,5,3.34375,2.75,-0.59375,-17.75700934579439,19,DownloadFile,2670.ps1,2713.ps1,-1.4375,False
12,4,2.484375,0.5625,-1.921875,-77.35849056603774,20,DownloadFile,2670.ps1,2920.ps1,-1.4375,False
0,11,2.484375,1.5625,-0.921875,-37.10691823899371,20,DownloadFile,2670.ps1,2920.ps1,-1.4375,False
12,15,2.484375,1.609375,-0.875,-35.22012578616352,20,DownloadFile,2670.ps1,2920.ps1,-1.4375,False
12,5,2.484375,1.953125,-0.53125,-21.38364779874214,20,DownloadFile,2670.ps1,2920.ps1,-1.4375,False
12,4,7.515625,3.6875,-3.828125,-50.935550935550935,21,DownloadFile,2670.ps1,1399.ps1,-1.4375,False
12,15,7.515625,6.078125,-1.4375,-19.12681912681913,21,DownloadFile,2670.ps1,1399.ps1,-1.4375,False
0,11,7.515625,6.625,-0.890625,-11.85031185031185,21,DownloadFile,2670.ps1,1399.ps1,-1.4375,False
12,5,7.515625,6.875,-0.640625,-8.523908523908524,21,DownloadFile,2670.ps1,1399.ps1,-1.4375,False
