patch_label,base_logit_diff,patched_logit_diff,delta_logit_diff,effect_pct,pair_idx,pair_indicator,benign_filename,malicious_filename,flip_to_benign
h12.15+h12.5+h12.4+h12.28,4.6875,1.4375,-3.25,-69.33333333333334,23,DownloadFile,2670.ps1,17dcaeeb7d93c8bc0150f4e1b471d81dd003be37bbaa6d2edf612dfb6a357dbc__seed_e8225ca71fe4__start_process_call_operator_string.ps1,False
h12.15+h12.5+h12.4+h12.28,4.15625,0.515625,-3.640625,-87.59398496240601,24,DownloadFile,2670.ps1,17dcaeeb7d93c8bc0150f4e1b471d81dd003be37bbaa6d2edf612dfb6a357dbc__seed_e8225ca71fe4__downloadfile_psobject_invoke.ps1,False
h12.15+h12.5+h12.4+h12.28,1.578125,-0.578125,-2.15625,-136.63366336633663,25,DownloadString,1113.ps1,450__seed_09659d17cb23__iex_call_operator_string.ps1,True
h12.15+h12.5+h12.4+h12.28,1.65625,-0.8125,-2.46875,-149.0566037735849,26,DownloadString,1113.ps1,450__seed_09659d17cb23__iex_scriptblock_create.ps1,True
h12.15+h12.5+h12.4+h12.28,0.078125,-1.15625,-1.234375,-1580.0,27,DownloadString,1113.ps1,450__seed_09659d17cb23__downloadstring_psobject_invoke.ps1,True
h12.15+h12.5+h12.4+h12.28,6.859375,1.171875,-5.6875,-82.91571753986332,28,DownloadString,1098.ps1,3062__seed_66f8f0994bce__iex_call_operator_string.ps1,False
h12.15+h12.5+h12.4+h12.28,5.3125,0.046875,-5.265625,-99.11764705882354,29,DownloadString,1098.ps1,3062__seed_66f8f0994bce__iex_scriptblock_create.ps1,False
h12.15+h12.5+h12.4+h12.28,3.09375,0.046875,-3.046875,-98.48484848484848,30,DownloadString,1098.ps1,3062__seed_66f8f0994bce__downloadstring_psobject_invoke.ps1,False
h12.15+h12.5+h12.4+h12.28,5.921875,0.609375,-5.3125,-89.70976253298153,31,DownloadString,1107.ps1,338__seed_109e3e5424a0__iex_call_operator_string.ps1,False
h12.15+h12.5+h12.4+h12.28,5.40625,-0.1875,-5.59375,-103.46820809248555,32,DownloadString,1107.ps1,338__seed_109e3e5424a0__iex_scriptblock_create.ps1,True
h12.15+h12.5+h12.4+h12.28,2.515625,-0.140625,-2.65625,-105.59006211180125,33,DownloadString,1107.ps1,338__seed_109e3e5424a0__downloadstring_psobject_invoke.ps1,True
h12.15+h12.5+h12.4+h12.28,5.078125,0.015625,-5.0625,-99.6923076923077,34,DownloadString,1113.ps1,cc76beb5bcf6880dee2d739a37e218871500d5d610c7989e7371b2594c2d594e__seed_36e17531a823__iex_call_operator_string.ps1,False
h12.15+h12.5+h12.4+h12.28,2.59375,-0.453125,-3.046875,-117.46987951807229,35,DownloadString,1113.ps1,cc76beb5bcf6880dee2d739a37e218871500d5d610c7989e7371b2594c2d594e__seed_36e17531a823__iex_scriptblock_create.ps1,True
h12.15+h12.5+h12.4+h12.28,1.234375,-0.578125,-1.8125,-146.8354430379747,36,DownloadString,1113.ps1,cc76beb5bcf6880dee2d739a37e218871500d5d610c7989e7371b2594c2d594e__seed_36e17531a823__downloadstring_psobject_invoke.ps1,True
h12.15+h12.5+h12.4+h12.28,2.71875,-0.640625,-3.359375,-123.5632183908046,37,DownloadString,1098.ps1,3100__seed_eb139569f490__iex_call_operator_string.ps1,True
h12.15+h12.5+h12.4+h12.28,1.890625,-1.078125,-2.96875,-157.02479338842977,38,DownloadString,1098.ps1,3100__seed_eb139569f490__iex_scriptblock_create.ps1,True
h12.15+h12.5+h12.4+h12.28,0.046875,-1.265625,-1.3125,-2800.0,39,DownloadString,1098.ps1,3100__seed_eb139569f490__downloadstring_psobject_invoke.ps1,True
h12.15+h12.5+h12.4+h12.28,5.9375,0.46875,-5.46875,-92.10526315789474,40,DownloadString,1107.ps1,3438__seed_dc2fdf741f87__iex_call_operator_string.ps1,False
h12.15+h12.5+h12.4+h12.28,5.453125,-0.296875,-5.75,-105.44412607449856,41,DownloadString,1107.ps1,3438__seed_dc2fdf741f87__iex_scriptblock_create.ps1,True
h12.15+h12.5+h12.4+h12.28,2.015625,-0.546875,-2.5625,-127.13178294573643,42,DownloadString,1107.ps1,3438__seed_dc2fdf741f87__downloadstring_psobject_invoke.ps1,True
h12.15+h12.5+h12.4+h12.28,3.46875,-0.40625,-3.875,-111.7117117117117,43,DownloadString,1113.ps1,67508635020243fc67eb003f214fc569733988db121516a1571f3c8de2589864__seed_c61abb38370f__iex_call_operator_string.ps1,True
h12.15+h12.5+h12.4+h12.28,4.078125,-0.5625,-4.640625,-113.79310344827587,44,DownloadString,1113.ps1,67508635020243fc67eb003f214fc569733988db121516a1571f3c8de2589864__seed_c61abb38370f__iex_scriptblock_create.ps1,True
h12.15+h12.5+h12.4+h12.28,0.75,-0.515625,-1.265625,-168.75,45,DownloadString,1113.ps1,67508635020243fc67eb003f214fc569733988db121516a1571f3c8de2589864__seed_c61abb38370f__downloadstring_psobject_invoke.ps1,True
h12.15+h12.5+h12.4+h12.28,2.109375,-0.328125,-2.4375,-115.55555555555554,46,DownloadString,1098.ps1,f1f2958356c98c4d296a747490c067cc11cd53b2812e5d69846069aef6d9adb6__seed_e517072ea782__invoke_expression_call_operator_string.ps1,True
h12.15+h12.5+h12.4+h12.28,2.1875,-0.578125,-2.765625,-126.42857142857142,47,DownloadString,1098.ps1,f1f2958356c98c4d296a747490c067cc11cd53b2812e5d69846069aef6d9adb6__seed_e517072ea782__invoke_expression_scriptblock_create.ps1,True
h12.15+h12.5+h12.4+h12.28,0.453125,-0.609375,-1.0625,-234.48275862068962,48,DownloadString,1098.ps1,f1f2958356c98c4d296a747490c067cc11cd53b2812e5d69846069aef6d9adb6__seed_e517072ea782__downloadstring_psobject_invoke.ps1,True
h12.15+h12.5+h12.4+h12.28,4.59375,2.109375,-2.484375,-54.08163265306123,49,FromBase64String,1238.ps1,231032778ec6e8baa7807ce3aeae9924bd62a36516d2655219d9334e0339c874__seed_0de74614c959__iex_call_operator_string.ps1,False
h12.15+h12.5+h12.4+h12.28,0.875,-0.140625,-1.015625,-116.07142857142858,50,FromBase64String,1238.ps1,231032778ec6e8baa7807ce3aeae9924bd62a36516d2655219d9334e0339c874__seed_0de74614c959__iex_scriptblock_create.ps1,True
h12.15+h12.5+h12.4+h12.28,1.03125,-0.1875,-1.21875,-118.18181818181819,51,IEX,1637.ps1,f55369c6d50c5a57c0a54c0d1a1560c0601e17f08d64f94a0fea9eed9768beae__seed_a4fecca9d2bf__iex_call_operator_string.ps1,True
h12.15+h12.5+h12.4+h12.28,2.015625,0.0,-2.015625,-100.0,52,IEX,1634.ps1,93a790e0a65d0a47a7988e81f069c4c7044802c50848735dcaf0f6b0ef921dcd__seed_5f819bb0b3c0__iex_call_operator_string.ps1,True
h12.15+h12.5+h12.4+h12.28,1.1875,0.34375,-0.84375,-71.05263157894737,53,IEX,523.ps1,784__seed_96df7e49f7a4__iex_scriptblock_create.ps1,False
h12.15+h12.5+h12.4+h12.28,2.296875,-0.625,-2.921875,-127.2108843537415,54,IEX,1637.ps1,2752__seed_2f848d678a4e__iex_scriptblock_create.ps1,True
h12.15+h12.5+h12.4+h12.28,2.078125,-0.71875,-2.796875,-134.58646616541355,55,IEX,1634.ps1,26493876411716e344173fdfd39aa4e85e740361f53b92ef17eba897890c50e4__seed_93d76af29de1__iex_scriptblock_create.ps1,True
h12.15+h12.5+h12.4+h12.28,2.1875,0.546875,-1.640625,-75.0,56,IEX,523.ps1,96d6a9c601102cb92802dfc3f8774cdc26fd778e1968de2eca6d0a4d2a873b4e__seed_28d4ebd2f1f6__iex_scriptblock_create.ps1,False
h12.15+h12.5+h12.4+h12.28,3.359375,0.359375,-3.0,-89.30232558139535,57,IEX,1637.ps1,417a0be8ef6073897f81fa6912d3a203a9aea432e16af30fe32376671cfa0d44__seed_ae923919854c__iex_call_operator_string.ps1,False
h12.15+h12.5+h12.4+h12.28,3.3125,0.265625,-3.046875,-91.98113207547169,58,IEX,1637.ps1,417a0be8ef6073897f81fa6912d3a203a9aea432e16af30fe32376671cfa0d44__seed_ae923919854c__iex_scriptblock_create.ps1,False
h12.15+h12.5+h12.4+h12.28,4.578125,-0.5625,-5.140625,-112.28668941979522,59,IEX,1634.ps1,94601fc7759612cc1ce13844d6c26cd3ac2e547a1c96e87ae4e2b87a1c2c57e1__seed_58333cda3aa9__iex_call_operator_string.ps1,True
h12.15+h12.5+h12.4+h12.28,4.578125,-0.40625,-4.984375,-108.87372013651877,60,IEX,1634.ps1,94601fc7759612cc1ce13844d6c26cd3ac2e547a1c96e87ae4e2b87a1c2c57e1__seed_58333cda3aa9__iex_scriptblock_create.ps1,True
h12.15+h12.5+h12.4+h12.28,2.140625,0.078125,-2.0625,-96.35036496350365,61,Invoke-Expression,583.ps1,fc9da60ea75819923b8a947dfe2ac25422bc534ae45b680bb8b177cb2e90415d__seed_b29df5de3d49__invoke_expression_scriptblock_create.ps1,False
h12.15+h12.5+h12.4+h12.28,0.359375,-0.96875,-1.328125,-369.5652173913044,62,Invoke-Expression,1767.ps1,2019__seed_a5cda033f923__invoke_expression_call_operator_string.ps1,True
h12.15+h12.5+h12.4+h12.28,0.046875,-1.453125,-1.5,-3200.0,63,Invoke-Expression,1767.ps1,2019__seed_a5cda033f923__invoke_expression_scriptblock_create.ps1,True
h12.15+h12.5+h12.4+h12.28,1.53125,0.03125,-1.5,-97.95918367346938,64,Invoke-Expression,617.ps1,2789__seed_9467821f5750__invoke_expression_call_operator_string.ps1,False
h12.15+h12.5+h12.4+h12.28,1.109375,-0.46875,-1.578125,-142.25352112676057,65,Invoke-Expression,617.ps1,2789__seed_9467821f5750__invoke_expression_scriptblock_create.ps1,True
h12.15+h12.5+h12.4+h12.28,0.640625,-0.40625,-1.046875,-163.41463414634146,66,Invoke-Expression,610.ps1,809c76fa535ae6532ce29d85d8ca042036f4d0c3f4a536efecdf78e5b85e9c5b__seed_b425d8ade6ab__invoke_expression_call_operator_string.ps1,True
h12.15+h12.5+h12.4+h12.28,0.3125,-0.671875,-0.984375,-315.0,67,Invoke-Expression,610.ps1,809c76fa535ae6532ce29d85d8ca042036f4d0c3f4a536efecdf78e5b85e9c5b__seed_b425d8ade6ab__invoke_expression_scriptblock_create.ps1,True
h12.15+h12.5+h12.4+h12.28,0.21875,-1.734375,-1.953125,-892.8571428571429,68,Invoke-WebRequest,3784.ps1,1362__seed_017509287b2d__invoke_webrequest_call_operator_string.ps1,True
h12.15+h12.5+h12.4+h12.28,-0.296875,-1.890625,-1.59375,-536.8421052631579,69,Invoke-WebRequest,3784.ps1,1362__seed_017509287b2d__invoke_webrequest_alias.ps1,True
