layer,head,pair_count,mean_delta,max_delta,min_delta,flip_rate
12,4,74,-2.6224662162162162,0.578125,-7.359375,0.32432432432432434
12,5,74,-0.6066300675675675,0.0625,-1.390625,0.12162162162162163
0,11,74,-0.3208403716216216,0.8125,-1.984375,0.10810810810810811
12,28,74,-0.47233952702702703,0.171875,-1.375,0.0945945945945946
12,15,74,-0.40783361486486486,0.390625,-1.46875,0.05405405405405406
12,2,74,-0.060705236486486486,0.25,-0.40625,0.013513513513513514
