layer,head,pair_count,mean_benign_projection,mean_malicious_projection,mean_delta_projection,max_delta_projection,min_delta_projection,positive_delta_frac
12,15,4,0.019392967224121094,0.1387939453125,0.1194009780883789,0.13268661499023438,0.105621337890625,1.0
12,0,4,-0.014036178588867188,0.040863037109375,0.05489921569824219,0.05599212646484375,0.0535430908203125,1.0
12,2,4,-0.0033224821090698242,0.049224853515625,0.052547335624694824,0.06131744384765625,0.04693412780761719,1.0
12,5,4,0.031047821044921875,0.0791015625,0.048053741455078125,0.0533447265625,0.03936767578125,1.0
12,21,4,-0.02495574951171875,0.00853729248046875,0.0334930419921875,0.03470611572265625,0.03218841552734375,1.0
12,28,4,-0.02338409423828125,0.007556915283203125,0.030941009521484375,0.033252716064453125,0.029987335205078125,1.0
12,23,4,0.0060825347900390625,0.02801513671875,0.021932601928710938,0.023487091064453125,0.01972198486328125,1.0
12,9,4,-0.111297607421875,-0.08953857421875,0.021759033203125,0.02667236328125,0.015869140625,1.0
12,4,4,-0.0785980224609375,-0.06103515625,0.0175628662109375,0.0313720703125,0.00311279296875,1.0
12,13,4,0.0014435052871704102,0.0181884765625,0.01674497127532959,0.017336368560791016,0.01633167266845703,1.0
12,1,4,0.018768310546875,0.0352783203125,0.016510009765625,0.0177764892578125,0.015655517578125,1.0
12,26,4,0.03350830078125,0.049072265625,0.01556396484375,0.01708984375,0.013946533203125,1.0
