pair_idx,pair_indicator,malicious_filename,n_indicator_tokens,base_logit_diff,ablated_logit_diff,logit_diff_delta,resid_l2_sensitivity,resid_cosine_similarity
46,DownloadFile,2291.ps1,8,12.578125,11.8671875,-0.7109375,3.255859375,0.890625
47,DownloadFile,630.ps1,8,13.015625,3.390625,-9.625,3.1796875,0.89453125
48,DownloadFile,708.ps1,8,12.7734375,11.25,-1.5234375,3.2578125,0.89111328125
49,DownloadFile,fa2y/malicious_samples/28ed8934f9387fde33d2a19029180008efc7572e4427f0e032f13550a3c1039a.ps1,8,13.2421875,2.984375,-10.2578125,3.1875,0.89453125
50,DownloadFile,1405.ps1,8,12.328125,4.859375,-7.46875,3.263671875,0.890625
51,DownloadFile,2884.ps1,8,11.171875,1.0390625,-10.1328125,3.771484375,0.84912109375
52,DownloadFile,696.ps1,8,12.734375,1.453125,-11.28125,4.4453125,0.78955078125
53,DownloadFile,fa2y/malicious_samples/00801f96c6b496509c0cb902821bdafdcbba57dedf21af1b895f474f24cbb253.ps1,8,12.3125,5.0,-7.3125,3.29296875,0.88916015625
54,DownloadFile,fa2y/malicious_samples/13f4661c1c374af2ad6fc330b948e8e9505caa804a573a6ed3500280a2421d36.ps1,8,13.15625,4.1640625,-8.9921875,3.02734375,0.90625
55,DownloadFile,fa2y/malicious_samples/fd362f7b211de390cd673099bd746d4549b3cf2dfcd4d30edf01c1e8aaf8b632.ps1,8,13.09375,4.1875,-8.90625,3.021484375,0.90625
56,DownloadFile,fa2y/malicious_samples/6a716189d14d2ea0e573633ac9075ede550ab74e55b212820d4edb9415e655dd.ps1,8,12.921875,3.8359375,-9.0859375,3.04296875,0.90478515625
57,DownloadFile,1662.ps1,8,12.859375,11.0234375,-1.8359375,3.083984375,0.9033203125
58,DownloadFile,fa2y/malicious_samples/2a771f819c3acc12bac20d738d66012e2be6ca1dfafac39daee0972d12a52309.ps1,8,13.5,1.4453125,-12.0546875,4.578125,0.77587890625
59,DownloadFile,fa2y/malicious_samples/ee9db34d2a631ffde5de442538b91f2349c04bbc56ef9a51a9d9121891e2025f.ps1,8,13.3359375,1.25,-12.0859375,4.4453125,0.7880859375
60,DownloadFile,fa2y/malicious_samples/eef58f790d1bae1a61be20c145fea11a70c2f028cd4786b86a4952229efefdef.ps1,8,13.3125,3.0859375,-10.2265625,4.14453125,0.81591796875
61,DownloadFile,1878.ps1,8,13.3125,3.9453125,-9.3671875,4.19921875,0.81298828125
62,DownloadFile,fa2y/malicious_samples/61d9c74e3ceb2ed56d3eacc3564a7e122934e7fe6fda9aef8a47327f4964ef01.ps1,8,11.7890625,1.1015625,-10.6875,3.74609375,0.849609375
63,DownloadFile,1614.ps1,8,13.609375,1.6953125,-11.9140625,4.16015625,0.8154296875
64,DownloadFile,2458.ps1,8,12.8984375,1.5859375,-11.3125,4.3828125,0.7919921875
65,DownloadFile,3425.ps1,8,13.3046875,1.640625,-11.6640625,4.7265625,0.7578125
66,DownloadFile,3843.ps1,8,13.40625,2.0546875,-11.3515625,4.140625,0.81787109375
67,DownloadFile,714.ps1,8,13.328125,1.96875,-11.359375,4.0625,0.8232421875
68,DownloadFile,537.ps1,8,13.3359375,2.171875,-11.1640625,4.2421875,0.8046875
69,DownloadFile,fa2y/malicious_samples/78410e63ba1777081b11999fc865729fe7810d340b2d54c6ce806e4b1140da00.ps1,8,13.53125,2.625,-10.90625,4.03125,0.82666015625
70,DownloadFile,1052.ps1,8,13.34375,1.34375,-12.0,4.21875,0.8115234375
71,DownloadFile,2137.ps1,8,13.4375,1.9375,-11.5,4.203125,0.80859375
72,DownloadFile,2174.ps1,8,10.515625,2.6953125,-7.8203125,4.2734375,0.80224609375
73,DownloadFile,438.ps1,8,13.1796875,2.7578125,-10.421875,3.9453125,0.8330078125
74,DownloadFile,fa2y/malicious_samples/17986c869474fb98fa38009e9cf3a890a2940911978f7ba190490071210d945d.ps1,8,12.0859375,3.84375,-8.2421875,3.908203125,0.83837890625
75,DownloadFile,119.ps1,8,13.453125,1.8671875,-11.5859375,4.015625,0.82666015625
76,DownloadFile,355.ps1,8,13.65625,1.34375,-12.3125,4.56640625,0.77685546875
77,DownloadFile,4014.ps1,8,12.609375,3.6796875,-8.9296875,3.75,0.8515625
78,DownloadFile,fa2y/malicious_samples/756c8c6d417ac2fdb1cc3aaf05a1ae94e83836e3ff15444329b8c6e3b1a0a1fd.ps1,8,13.421875,2.2734375,-11.1484375,4.05859375,0.82421875
79,DownloadFile,139.ps1,5,10.96875,6.9140625,-4.0546875,1.8876953125,0.9658203125
80,DownloadFile,1861.ps1,8,13.2578125,2.59375,-10.6640625,4.16015625,0.81689453125
81,DownloadFile,2312.ps1,8,12.5625,2.734375,-9.828125,3.44140625,0.876953125
82,DownloadFile,1269.ps1,8,12.40625,1.9765625,-10.4296875,3.548828125,0.8671875
83,DownloadFile,1322.ps1,8,11.3125,2.734375,-8.578125,3.623046875,0.86181640625
84,DownloadFile,2438.ps1,8,11.859375,2.921875,-8.9375,3.86328125,0.83984375
85,DownloadFile,fa2y/malicious_samples/fefa951333917fa97d95954c2bca05e0ff4af887f17a0c73e0522f256b8c5431-obf-out-obfuscatedast.ps1,8,11.6171875,2.234375,-9.3828125,3.775390625,0.84814453125
86,DownloadFile,1399.ps1,8,11.734375,5.84375,-5.890625,3.095703125,0.90185546875
87,DownloadFile,fa2y/malicious_samples/9f65cac31bf5792dd7f279d61f5576241d425058ef9b72c289cac91f48ae3329.ps1,8,11.953125,6.3203125,-5.6328125,3.1015625,0.90185546875
88,DownloadFile,fa2y/malicious_samples/b0c4041a617c4347ad79749b0da823e642f07d36eeee57e98d467a3950cb10e1.ps1,8,12.140625,7.53125,-4.609375,3.080078125,0.9033203125
89,DownloadFile,1693.ps1,8,12.984375,1.375,-11.609375,3.806640625,0.8466796875
90,DownloadFile,179.ps1,8,12.8125,2.5,-10.3125,3.708984375,0.85498046875
91,DownloadFile,2294.ps1,8,10.796875,2.3984375,-8.3984375,3.76171875,0.8515625
92,DownloadFile,2713.ps1,8,12.703125,2.4375,-10.265625,3.693359375,0.85546875
93,DownloadFile,2920.ps1,8,11.546875,3.203125,-8.34375,3.62109375,0.861328125
94,DownloadFile,fa2y/malicious_samples/30a5d1443d7e3e1e4f15af2900ccf25d5631d5475f52a33c93df91076a0e8264.ps1,8,11.140625,4.1171875,-7.0234375,3.826171875,0.8466796875
95,DownloadFile,fa2y/malicious_samples/bb2fcf0a07ce7797c373c312a48e73d8d27ce6d4086a441398231f02c70d0227.ps1,8,12.6953125,3.65625,-9.0390625,4.08203125,0.8212890625
96,DownloadFile,3426.ps1,8,12.015625,6.15625,-5.859375,3.76171875,0.8525390625
97,DownloadFile,fa2y/malicious_samples/820fb4dfcda98e81a46fd94b2cd0c1d836b21f3a6049496da2e2d2b36fbc43e0.ps1,8,11.21875,2.0546875,-9.1640625,3.541015625,0.8681640625
98,DownloadFile,1946.ps1,8,12.765625,1.2578125,-11.5078125,4.26953125,0.80419921875
99,DownloadFile,fa2y/malicious_samples/2e165edb6b327a9458e15671321fd5cb559aa3dc0b0cc85dff3f57573f055b6b.ps1,8,12.484375,9.40625,-3.078125,3.708984375,0.8564453125
100,DownloadFile,fa2y/malicious_samples/b8d5508beb51b47281ed14c07b878a821f09732ff03412c7cf07de000cfb561b.ps1,8,13.0625,1.1484375,-11.9140625,4.4609375,0.787109375
101,DownloadFile,fa2y/malicious_samples/c8efe9ea75325d965681babd0e363a5f874b98c2462ca9885b6d82145c5ab686.ps1,8,12.921875,8.5,-4.421875,3.150390625,0.89892578125
102,DownloadFile,3545.ps1,8,12.15625,1.234375,-10.921875,3.9609375,0.83349609375
103,DownloadFile,2227.ps1,8,12.8828125,8.84375,-4.0390625,3.619140625,0.86376953125
104,DownloadFile,fa2y/malicious_samples/0a42fe953d348fa27afa825371cdcff4339ad4ab197679064a472505ee83baf3.ps1,8,12.2734375,1.5390625,-10.734375,3.916015625,0.83837890625
105,DownloadFile,fa2y/malicious_samples/c7cfdf42655d6eae22cedd1064c59cc40a299c531b3b8e246a12f8ff29c1fe85.ps1,8,13.5234375,1.7890625,-11.734375,4.4453125,0.78759765625
106,DownloadFile,1515.ps1,8,12.328125,7.9765625,-4.3515625,3.58984375,0.8671875
107,DownloadFile,1839.ps1,8,12.2109375,7.75,-4.4609375,3.248046875,0.89208984375
108,DownloadFile,fa2y/malicious_samples/d9f001a517eede146eefa8c4228ed34123e67c62fe68c52dc1b0515f9c1b5b35.ps1,8,10.859375,1.234375,-9.625,3.69921875,0.85498046875
109,DownloadFile,fa2y/malicious_samples/0e58274ba5b05102c5ebbda053d6ead91e579748dd2ff12898a97018cb30f63e.ps1,8,13.234375,8.34375,-4.890625,4.33203125,0.79931640625
110,DownloadFile,fa2y/malicious_samples/c462fce03909f9af47a91c1e605543aaa5aca4c4df638e0f49e2d3ce15a1bbbe.ps1,8,13.03125,8.546875,-4.484375,4.015625,0.83056640625
111,DownloadFile,1011.ps1,8,12.4609375,9.8046875,-2.65625,3.609375,0.865234375
112,DownloadFile,fa2y/malicious_samples/60d7a22d2d7d01dbe177869e132609812d6efb46e61606a9d4e38cd2074ec58c.ps1,8,12.0703125,2.9765625,-9.09375,3.982421875,0.83447265625
113,DownloadFile,fa2y/malicious_samples/b31a3f035f885235b587fb23c113b7555dcabcf44bd34f89f542e352aa341fd2.ps1,8,10.140625,2.921875,-7.21875,3.83984375,0.8427734375
114,DownloadFile,1611.ps1,8,12.1015625,2.640625,-9.4609375,3.552734375,0.8671875
