ablation_label,base_logit_diff,ablated_logit_diff,delta_logit_diff,effect_pct,pair_idx,pair_indicator,benign_filename,malicious_filename,flip_to_benign
h0.11+h12.28+h12.5+h12.4+h12.13,7.203125,1.625,-5.578125,-77.44034707158352,38,FromBase64String,4207.ps1,git_53.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,5.390625,2.3125,-3.078125,-57.10144927536231,39,FromBase64String,1444.ps1,2139.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,3.3359375,1.3515625,-1.984375,-59.4847775175644,40,FromBase64String,1444.ps1,2792.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,3.3359375,1.3515625,-1.984375,-59.4847775175644,41,FromBase64String,1444.ps1,3988.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,3.3359375,1.3515625,-1.984375,-59.4847775175644,42,FromBase64String,2781.ps1,2792.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,3.3359375,1.3515625,-1.984375,-59.4847775175644,43,FromBase64String,2781.ps1,3988.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,5.390625,2.3125,-3.078125,-57.10144927536231,44,FromBase64String,2781.ps1,2139.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,1.2734375,0.8828125,-0.390625,-30.67484662576687,45,FromBase64String,1238.ps1,3780.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,1.5078125,0.65625,-0.8515625,-56.476683937823836,46,FromBase64String,1670.ps1,3537.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,1.2734375,0.8828125,-0.390625,-30.67484662576687,47,FromBase64String,1444.ps1,3780.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,4.625,1.6328125,-2.9921875,-64.69594594594594,48,FromBase64String,1444.ps1,1298.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,4.625,1.6328125,-2.9921875,-64.69594594594594,49,FromBase64String,1444.ps1,2546.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,4.625,1.6328125,-2.9921875,-64.69594594594594,50,FromBase64String,1444.ps1,905.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,5.390625,2.3125,-3.078125,-57.10144927536231,51,FromBase64String,1670.ps1,2139.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,3.3359375,1.3515625,-1.984375,-59.4847775175644,52,FromBase64String,1670.ps1,2792.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,2.9296875,1.0546875,-1.875,-64.0,53,IEX,1637.ps1,2752.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,2.671875,0.9453125,-1.7265625,-64.61988304093568,54,IEX,1637.ps1,2115.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,2.7421875,1.1328125,-1.609375,-58.68945868945868,56,IEX,1637.ps1,784.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,2.9296875,1.0546875,-1.875,-64.0,57,IEX,1634.ps1,2752.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,2.671875,0.9453125,-1.7265625,-64.61988304093568,58,IEX,1634.ps1,2115.ps1,False
