pair_indicator,n,mean_l2_sensitivity,mean_logit_diff_delta,mean_base_logit_diff,mean_n_indicator_tokens
DownloadFile,146,3.573449539811644,-8.046928510273972,12.096532534246576,8.075342465753424
DownloadString,43,2.828045512354651,-4.177870639534884,8.133539244186046,9.883720930232558
IEX,25,2.2383984375,-1.868125,7.3415625,3.2
Invoke-WebRequest,19,2.2039216694078947,-1.602744654605263,5.212787828947368,10.736842105263158
-EncodedCommand,7,1.5740094866071428,-0.5920758928571429,4.783900669642857,8.0
FromBase64String,35,1.4958147321428572,-0.04522181919642857,2.530224609375,8.257142857142858
Invoke-Expression,18,1.3162163628472223,0.2108832465277778,2.774631076388889,8.333333333333334
