layer,head,pair_count,mean_delta,max_delta,min_delta,flip_rate
12,4,74,-2.9467905405405403,-0.4609375,-5.8515625,0.0
12,5,74,-0.8946368243243243,0.1015625,-1.8984375,0.0
0,11,74,-0.7522170608108109,0.15625,-3.1171875,0.0
12,28,74,-0.08741554054054054,0.4765625,-0.8515625,0.0
