layer,head,pair_count,mean_attention_delta,max_attention_delta
0,11,18,0.006281781915782226,0.008040143176913261
0,27,18,0.0021390305418107244,0.0037149577401578426
0,25,18,0.0013513138983398676,0.0026715099811553955
0,26,15,0.0009631715714931488,0.00232264818623662
0,23,9,0.0009972458291384908,0.0018239449709653854
0,1,8,0.0009478423744440079,0.0017859740182757378
0,14,4,0.0003171354765072465,0.00042728567495942116
