layer,head,base_logit_diff,ablated_logit_diff,delta_logit_diff,effect_pct,pair_idx,pair_indicator,benign_filename,malicious_filename,base_benign_logit_diff,flip_to_benign
0,11,9.0703125,9.03125,-0.0390625,-0.4306632213608958,13,DownloadFile,2670.ps1,3545.ps1,-2.7265625,False
12,4,10.6328125,4.78125,-5.8515625,-55.0330639235856,14,DownloadFile,2670.ps1,1946.ps1,-2.7265625,False
12,5,10.6328125,8.890625,-1.7421875,-16.385011021307864,14,DownloadFile,2670.ps1,1946.ps1,-2.7265625,False
0,11,10.6328125,9.71875,-0.9140625,-8.596620132255694,14,DownloadFile,2670.ps1,1946.ps1,-2.7265625,False
12,28,10.6328125,10.703125,0.0703125,0.6612784717119765,14,DownloadFile,2670.ps1,1946.ps1,-2.7265625,False
12,4,8.9921875,4.6328125,-4.359375,-48.47958297132928,15,DownloadFile,2670.ps1,3426.ps1,-2.7265625,False
12,5,8.9921875,7.640625,-1.3515625,-15.030408340573414,15,DownloadFile,2670.ps1,3426.ps1,-2.7265625,False
0,11,8.9921875,8.359375,-0.6328125,-7.037358818418767,15,DownloadFile,2670.ps1,3426.ps1,-2.7265625,False
12,28,8.9921875,8.65625,-0.3359375,-3.735881841876629,15,DownloadFile,2670.ps1,3426.ps1,-2.7265625,False
12,4,12.6953125,8.671875,-4.0234375,-31.692307692307693,16,DownloadFile,2670.ps1,1693.ps1,-2.7265625,False
12,5,12.6953125,11.828125,-0.8671875,-6.8307692307692305,16,DownloadFile,2670.ps1,1693.ps1,-2.7265625,False
0,11,12.6953125,12.34375,-0.3515625,-2.769230769230769,16,DownloadFile,2670.ps1,1693.ps1,-2.7265625,False
12,28,12.6953125,12.5234375,-0.171875,-1.353846153846154,16,DownloadFile,2670.ps1,1693.ps1,-2.7265625,False
12,4,10.7109375,5.3984375,-5.3125,-49.59883296863603,17,DownloadFile,2670.ps1,179.ps1,-2.7265625,False
12,5,10.7109375,8.8671875,-1.84375,-17.21371261852662,17,DownloadFile,2670.ps1,179.ps1,-2.7265625,False
0,11,10.7109375,9.53125,-1.1796875,-11.013858497447119,17,DownloadFile,2670.ps1,179.ps1,-2.7265625,False
12,28,10.7109375,10.515625,-0.1953125,-1.8234865061998542,17,DownloadFile,2670.ps1,179.ps1,-2.7265625,False
12,4,9.890625,5.2578125,-4.6328125,-46.84044233807267,18,DownloadFile,2670.ps1,2294.ps1,-2.7265625,False
0,11,9.890625,8.453125,-1.4375,-14.533965244865717,18,DownloadFile,2670.ps1,2294.ps1,-2.7265625,False
12,5,9.890625,8.5,-1.390625,-14.06003159557662,18,DownloadFile,2670.ps1,2294.ps1,-2.7265625,False
12,28,9.890625,9.6015625,-0.2890625,-2.9225908372827805,18,DownloadFile,2670.ps1,2294.ps1,-2.7265625,False
12,4,10.3125,4.953125,-5.359375,-51.96969696969697,19,DownloadFile,2670.ps1,2713.ps1,-2.7265625,False
12,5,10.3125,8.53125,-1.78125,-17.272727272727273,19,DownloadFile,2670.ps1,2713.ps1,-2.7265625,False
0,11,10.3125,8.84375,-1.46875,-14.242424242424242,19,DownloadFile,2670.ps1,2713.ps1,-2.7265625,False
12,28,10.3125,10.296875,-0.015625,-0.15151515151515152,19,DownloadFile,2670.ps1,2713.ps1,-2.7265625,False
12,4,9.0,4.3125,-4.6875,-52.083333333333336,20,DownloadFile,2670.ps1,2920.ps1,-2.7265625,False
12,5,9.0,7.2890625,-1.7109375,-19.010416666666664,20,DownloadFile,2670.ps1,2920.ps1,-2.7265625,False
0,11,9.0,7.5234375,-1.4765625,-16.40625,20,DownloadFile,2670.ps1,2920.ps1,-2.7265625,False
12,28,9.0,9.1015625,0.1015625,1.128472222222222,20,DownloadFile,2670.ps1,2920.ps1,-2.7265625,False
12,4,7.171875,2.3828125,-4.7890625,-66.7755991285403,21,DownloadFile,2670.ps1,1399.ps1,-2.7265625,False
12,5,7.171875,5.7890625,-1.3828125,-19.28104575163399,21,DownloadFile,2670.ps1,1399.ps1,-2.7265625,False
0,11,7.171875,6.2265625,-0.9453125,-13.180827886710238,21,DownloadFile,2670.ps1,1399.ps1,-2.7265625,False
12,28,7.171875,6.953125,-0.21875,-3.0501089324618738,21,DownloadFile,2670.ps1,1399.ps1,-2.7265625,False
12,4,10.6328125,5.03125,-5.6015625,-52.68185157972079,22,DownloadFile,2670.ps1,1269.ps1,-2.7265625,False
12,5,10.6328125,8.90625,-1.7265625,-16.23806024981631,22,DownloadFile,2670.ps1,1269.ps1,-2.7265625,False
0,11,10.6328125,10.0234375,-0.609375,-5.731080088170462,22,DownloadFile,2670.ps1,1269.ps1,-2.7265625,False
12,28,10.6328125,10.5390625,-0.09375,-0.881704628949302,22,DownloadFile,2670.ps1,1269.ps1,-2.7265625,False
12,4,7.6640625,3.171875,-4.4921875,-58.613659531090725,23,DownloadString,1113.ps1,3084.ps1,-4.4375,False
12,5,7.6640625,5.9765625,-1.6875,-22.018348623853214,23,DownloadString,1113.ps1,3084.ps1,-4.4375,False
0,11,7.6640625,6.328125,-1.3359375,-17.431192660550458,23,DownloadString,1113.ps1,3084.ps1,-4.4375,False
12,28,7.6640625,7.6640625,0.0,0.0,23,DownloadString,1113.ps1,3084.ps1,-4.4375,False
12,4,6.984375,3.171875,-3.8125,-54.58612975391499,24,DownloadString,1113.ps1,3278.ps1,-4.4375,False
0,11,6.984375,4.09375,-2.890625,-41.387024608501115,24,DownloadString,1113.ps1,3278.ps1,-4.4375,False
12,5,6.984375,5.984375,-1.0,-14.317673378076062,24,DownloadString,1113.ps1,3278.ps1,-4.4375,False
12,28,6.984375,6.2421875,-0.7421875,-10.626398210290827,24,DownloadString,1113.ps1,3278.ps1,-4.4375,False
12,4,1.671875,0.84375,-0.828125,-49.532710280373834,25,DownloadString,1113.ps1,2190.ps1,-4.4375,False
12,5,1.671875,1.5,-0.171875,-10.2803738317757,25,DownloadString,1113.ps1,2190.ps1,-4.4375,False
0,11,1.671875,1.546875,-0.125,-7.476635514018691,25,DownloadString,1113.ps1,2190.ps1,-4.4375,False
12,28,1.671875,1.984375,0.3125,18.69158878504673,25,DownloadString,1113.ps1,2190.ps1,-4.4375,False
12,4,1.671875,0.84375,-0.828125,-49.532710280373834,26,DownloadString,1113.ps1,3804.ps1,-4.4375,False
12,5,1.671875,1.5,-0.171875,-10.2803738317757,26,DownloadString,1113.ps1,3804.ps1,-4.4375,False
0,11,1.671875,1.546875,-0.125,-7.476635514018691,26,DownloadString,1113.ps1,3804.ps1,-4.4375,False
12,28,1.671875,1.984375,0.3125,18.69158878504673,26,DownloadString,1113.ps1,3804.ps1,-4.4375,False
12,4,3.9453125,1.9140625,-2.03125,-51.48514851485149,27,DownloadString,1113.ps1,2894.ps1,-4.4375,False
0,11,3.9453125,2.453125,-1.4921875,-37.82178217821782,27,DownloadString,1113.ps1,2894.ps1,-4.4375,False
12,5,3.9453125,3.234375,-0.7109375,-18.019801980198018,27,DownloadString,1113.ps1,2894.ps1,-4.4375,False
12,28,3.9453125,3.7109375,-0.234375,-5.9405940594059405,27,DownloadString,1113.ps1,2894.ps1,-4.4375,False
12,4,2.4609375,1.3828125,-1.078125,-43.80952380952381,28,DownloadString,1113.ps1,3100.ps1,-4.4375,False
0,11,2.4609375,1.40625,-1.0546875,-42.857142857142854,28,DownloadString,1113.ps1,3100.ps1,-4.4375,False
12,5,2.4609375,2.0859375,-0.375,-15.238095238095239,28,DownloadString,1113.ps1,3100.ps1,-4.4375,False
12,28,2.4609375,2.546875,0.0859375,3.492063492063492,28,DownloadString,1113.ps1,3100.ps1,-4.4375,False
12,4,7.6484375,3.8125,-3.8359375,-50.15321756894791,29,DownloadString,1113.ps1,3438.ps1,-4.4375,False
0,11,7.6484375,6.0546875,-1.59375,-20.83758937691522,29,DownloadString,1113.ps1,3438.ps1,-4.4375,False
12,5,7.6484375,6.2890625,-1.359375,-17.7732379979571,29,DownloadString,1113.ps1,3438.ps1,-4.4375,False
12,28,7.6484375,6.796875,-0.8515625,-11.133810010214505,29,DownloadString,1113.ps1,3438.ps1,-4.4375,False
12,4,6.9609375,4.09375,-2.8671875,-41.18967452300786,30,DownloadString,1113.ps1,3062.ps1,-4.4375,False
0,11,6.9609375,4.53125,-2.4296875,-34.90460157126824,30,DownloadString,1113.ps1,3062.ps1,-4.4375,False
12,5,6.9609375,5.953125,-1.0078125,-14.47811447811448,30,DownloadString,1113.ps1,3062.ps1,-4.4375,False
12,28,6.9609375,6.5,-0.4609375,-6.621773288439956,30,DownloadString,1113.ps1,3062.ps1,-4.4375,False
12,4,7.640625,4.3359375,-3.3046875,-43.25153374233129,31,DownloadString,1113.ps1,338.ps1,-4.4375,False
0,11,7.640625,4.5234375,-3.1171875,-40.79754601226993,31,DownloadString,1113.ps1,338.ps1,-4.4375,False
12,5,7.640625,6.375,-1.265625,-16.56441717791411,31,DownloadString,1113.ps1,338.ps1,-4.4375,False
12,28,7.640625,7.1171875,-0.5234375,-6.850715746421268,31,DownloadString,1113.ps1,338.ps1,-4.4375,False
12,4,3.2890625,1.5859375,-1.703125,-51.78147268408551,32,DownloadString,1113.ps1,450.ps1,-4.4375,False
0,11,3.2890625,2.078125,-1.2109375,-36.81710213776722,32,DownloadString,1113.ps1,450.ps1,-4.4375,False
12,5,3.2890625,2.640625,-0.6484375,-19.71496437054632,32,DownloadString,1113.ps1,450.ps1,-4.4375,False
12,28,3.2890625,2.9765625,-0.3125,-9.501187648456057,32,DownloadString,1113.ps1,450.ps1,-4.4375,False
0,11,1.2734375,0.7578125,-0.515625,-40.49079754601227,33,FromBase64String,1670.ps1,3780.ps1,-5.859375,False
12,4,1.2734375,0.8125,-0.4609375,-36.19631901840491,33,FromBase64String,1670.ps1,3780.ps1,-5.859375,False
12,28,1.2734375,1.1953125,-0.078125,-6.134969325153374,33,FromBase64String,1670.ps1,3780.ps1,-5.859375,False
12,5,1.2734375,1.375,0.1015625,7.975460122699387,33,FromBase64String,1670.ps1,3780.ps1,-5.859375,False
0,11,1.5078125,0.5625,-0.9453125,-62.69430051813472,34,FromBase64String,1238.ps1,3537.ps1,-0.921875,False
12,4,1.5078125,0.9921875,-0.515625,-34.196891191709845,34,FromBase64String,1238.ps1,3537.ps1,-0.921875,False
12,28,1.5078125,1.328125,-0.1796875,-11.917098445595855,34,FromBase64String,1238.ps1,3537.ps1,-0.921875,False
12,5,1.5078125,1.59375,0.0859375,5.699481865284974,34,FromBase64String,1238.ps1,3537.ps1,-0.921875,False
12,4,4.625,2.5078125,-2.1171875,-45.77702702702703,35,FromBase64String,2781.ps1,1298.ps1,-1.3671875,False
0,11,4.625,4.0234375,-0.6015625,-13.006756756756758,35,FromBase64String,2781.ps1,1298.ps1,-1.3671875,False
12,5,4.625,4.390625,-0.234375,-5.0675675675675675,35,FromBase64String,2781.ps1,1298.ps1,-1.3671875,False
12,28,4.625,4.640625,0.015625,0.33783783783783783,35,FromBase64String,2781.ps1,1298.ps1,-1.3671875,False
12,4,4.625,2.5078125,-2.1171875,-45.77702702702703,36,FromBase64String,2781.ps1,2546.ps1,-1.3671875,False
0,11,4.625,4.0234375,-0.6015625,-13.006756756756758,36,FromBase64String,2781.ps1,2546.ps1,-1.3671875,False
12,5,4.625,4.390625,-0.234375,-5.0675675675675675,36,FromBase64String,2781.ps1,2546.ps1,-1.3671875,False
12,28,4.625,4.640625,0.015625,0.33783783783783783,36,FromBase64String,2781.ps1,2546.ps1,-1.3671875,False
12,4,4.625,2.5078125,-2.1171875,-45.77702702702703,37,FromBase64String,2781.ps1,905.ps1,-1.3671875,False
0,11,4.625,4.0234375,-0.6015625,-13.006756756756758,37,FromBase64String,2781.ps1,905.ps1,-1.3671875,False
12,5,4.625,4.390625,-0.234375,-5.0675675675675675,37,FromBase64String,2781.ps1,905.ps1,-1.3671875,False
12,28,4.625,4.640625,0.015625,0.33783783783783783,37,FromBase64String,2781.ps1,905.ps1,-1.3671875,False
12,4,7.203125,3.796875,-3.40625,-47.288503253796094,38,FromBase64String,4207.ps1,git_53.ps1,-0.140625,False
12,5,7.203125,6.4921875,-0.7109375,-9.869848156182211,38,FromBase64String,4207.ps1,git_53.ps1,-0.140625,False
12,28,7.203125,6.5859375,-0.6171875,-8.568329718004339,38,FromBase64String,4207.ps1,git_53.ps1,-0.140625,False
0,11,7.203125,7.359375,0.15625,2.1691973969631237,38,FromBase64String,4207.ps1,git_53.ps1,-0.140625,False
12,4,5.390625,3.0234375,-2.3671875,-43.913043478260875,39,FromBase64String,1444.ps1,2139.ps1,-7.515625,False
12,5,5.390625,4.9453125,-0.4453125,-8.26086956521739,39,FromBase64String,1444.ps1,2139.ps1,-7.515625,False
12,28,5.390625,5.0625,-0.328125,-6.086956521739131,39,FromBase64String,1444.ps1,2139.ps1,-7.515625,False
0,11,5.390625,5.3046875,-0.0859375,-1.5942028985507246,39,FromBase64String,1444.ps1,2139.ps1,-7.515625,False
12,4,3.3359375,1.8828125,-1.453125,-43.559718969555036,40,FromBase64String,1444.ps1,2792.ps1,-7.515625,False
12,5,3.3359375,2.96875,-0.3671875,-11.00702576112412,40,FromBase64String,1444.ps1,2792.ps1,-7.515625,False
0,11,3.3359375,3.1640625,-0.171875,-5.152224824355972,40,FromBase64String,1444.ps1,2792.ps1,-7.515625,False
12,28,3.3359375,3.2890625,-0.046875,-1.405152224824356,40,FromBase64String,1444.ps1,2792.ps1,-7.515625,False
12,4,3.3359375,1.8828125,-1.453125,-43.559718969555036,41,FromBase64String,1444.ps1,3988.ps1,-7.515625,False
12,5,3.3359375,2.96875,-0.3671875,-11.00702576112412,41,FromBase64String,1444.ps1,3988.ps1,-7.515625,False
0,11,3.3359375,3.1640625,-0.171875,-5.152224824355972,41,FromBase64String,1444.ps1,3988.ps1,-7.515625,False
12,28,3.3359375,3.2890625,-0.046875,-1.405152224824356,41,FromBase64String,1444.ps1,3988.ps1,-7.515625,False
12,4,3.3359375,1.8828125,-1.453125,-43.559718969555036,42,FromBase64String,2781.ps1,2792.ps1,-1.3671875,False
12,5,3.3359375,2.96875,-0.3671875,-11.00702576112412,42,FromBase64String,2781.ps1,2792.ps1,-1.3671875,False
0,11,3.3359375,3.1640625,-0.171875,-5.152224824355972,42,FromBase64String,2781.ps1,2792.ps1,-1.3671875,False
12,28,3.3359375,3.2890625,-0.046875,-1.405152224824356,42,FromBase64String,2781.ps1,2792.ps1,-1.3671875,False
12,4,3.3359375,1.8828125,-1.453125,-43.559718969555036,43,FromBase64String,2781.ps1,3988.ps1,-1.3671875,False
12,5,3.3359375,2.96875,-0.3671875,-11.00702576112412,43,FromBase64String,2781.ps1,3988.ps1,-1.3671875,False
0,11,3.3359375,3.1640625,-0.171875,-5.152224824355972,43,FromBase64String,2781.ps1,3988.ps1,-1.3671875,False
12,28,3.3359375,3.2890625,-0.046875,-1.405152224824356,43,FromBase64String,2781.ps1,3988.ps1,-1.3671875,False
12,4,5.390625,3.0234375,-2.3671875,-43.913043478260875,44,FromBase64String,2781.ps1,2139.ps1,-1.3671875,False
12,5,5.390625,4.9453125,-0.4453125,-8.26086956521739,44,FromBase64String,2781.ps1,2139.ps1,-1.3671875,False
12,28,5.390625,5.0625,-0.328125,-6.086956521739131,44,FromBase64String,2781.ps1,2139.ps1,-1.3671875,False
0,11,5.390625,5.3046875,-0.0859375,-1.5942028985507246,44,FromBase64String,2781.ps1,2139.ps1,-1.3671875,False
0,11,1.2734375,0.7578125,-0.515625,-40.49079754601227,45,FromBase64String,1238.ps1,3780.ps1,-0.921875,False
12,4,1.2734375,0.8125,-0.4609375,-36.19631901840491,45,FromBase64String,1238.ps1,3780.ps1,-0.921875,False
12,28,1.2734375,1.1953125,-0.078125,-6.134969325153374,45,FromBase64String,1238.ps1,3780.ps1,-0.921875,False
12,5,1.2734375,1.375,0.1015625,7.975460122699387,45,FromBase64String,1238.ps1,3780.ps1,-0.921875,False
0,11,1.5078125,0.5625,-0.9453125,-62.69430051813472,46,FromBase64String,1670.ps1,3537.ps1,-5.859375,False
12,4,1.5078125,0.9921875,-0.515625,-34.196891191709845,46,FromBase64String,1670.ps1,3537.ps1,-5.859375,False
12,28,1.5078125,1.328125,-0.1796875,-11.917098445595855,46,FromBase64String,1670.ps1,3537.ps1,-5.859375,False
12,5,1.5078125,1.59375,0.0859375,5.699481865284974,46,FromBase64String,1670.ps1,3537.ps1,-5.859375,False
0,11,1.2734375,0.7578125,-0.515625,-40.49079754601227,47,FromBase64String,1444.ps1,3780.ps1,-7.515625,False
12,4,1.2734375,0.8125,-0.4609375,-36.19631901840491,47,FromBase64String,1444.ps1,3780.ps1,-7.515625,False
12,28,1.2734375,1.1953125,-0.078125,-6.134969325153374,47,FromBase64String,1444.ps1,3780.ps1,-7.515625,False
12,5,1.2734375,1.375,0.1015625,7.975460122699387,47,FromBase64String,1444.ps1,3780.ps1,-7.515625,False
12,4,4.625,2.5078125,-2.1171875,-45.77702702702703,48,FromBase64String,1444.ps1,1298.ps1,-7.515625,False
0,11,4.625,4.0234375,-0.6015625,-13.006756756756758,48,FromBase64String,1444.ps1,1298.ps1,-7.515625,False
12,5,4.625,4.390625,-0.234375,-5.0675675675675675,48,FromBase64String,1444.ps1,1298.ps1,-7.515625,False
12,28,4.625,4.640625,0.015625,0.33783783783783783,48,FromBase64String,1444.ps1,1298.ps1,-7.515625,False
12,4,4.625,2.5078125,-2.1171875,-45.77702702702703,49,FromBase64String,1444.ps1,2546.ps1,-7.515625,False
0,11,4.625,4.0234375,-0.6015625,-13.006756756756758,49,FromBase64String,1444.ps1,2546.ps1,-7.515625,False
12,5,4.625,4.390625,-0.234375,-5.0675675675675675,49,FromBase64String,1444.ps1,2546.ps1,-7.515625,False
12,28,4.625,4.640625,0.015625,0.33783783783783783,49,FromBase64String,1444.ps1,2546.ps1,-7.515625,False
12,4,4.625,2.5078125,-2.1171875,-45.77702702702703,50,FromBase64String,1444.ps1,905.ps1,-7.515625,False
0,11,4.625,4.0234375,-0.6015625,-13.006756756756758,50,FromBase64String,1444.ps1,905.ps1,-7.515625,False
12,5,4.625,4.390625,-0.234375,-5.0675675675675675,50,FromBase64String,1444.ps1,905.ps1,-7.515625,False
12,28,4.625,4.640625,0.015625,0.33783783783783783,50,FromBase64String,1444.ps1,905.ps1,-7.515625,False
12,4,5.390625,3.0234375,-2.3671875,-43.913043478260875,51,FromBase64String,1670.ps1,2139.ps1,-5.859375,False
12,5,5.390625,4.9453125,-0.4453125,-8.26086956521739,51,FromBase64String,1670.ps1,2139.ps1,-5.859375,False
12,28,5.390625,5.0625,-0.328125,-6.086956521739131,51,FromBase64String,1670.ps1,2139.ps1,-5.859375,False
0,11,5.390625,5.3046875,-0.0859375,-1.5942028985507246,51,FromBase64String,1670.ps1,2139.ps1,-5.859375,False
12,4,3.3359375,1.8828125,-1.453125,-43.559718969555036,52,FromBase64String,1670.ps1,2792.ps1,-5.859375,False
12,5,3.3359375,2.96875,-0.3671875,-11.00702576112412,52,FromBase64String,1670.ps1,2792.ps1,-5.859375,False
0,11,3.3359375,3.1640625,-0.171875,-5.152224824355972,52,FromBase64String,1670.ps1,2792.ps1,-5.859375,False
12,28,3.3359375,3.2890625,-0.046875,-1.405152224824356,52,FromBase64String,1670.ps1,2792.ps1,-5.859375,False
12,4,2.9296875,1.671875,-1.2578125,-42.93333333333334,53,IEX,1637.ps1,2752.ps1,-3.2109375,False
