layer,component,base_logit_diff,ablated_logit_diff,delta_logit_diff,effect_pct,pair_idx,pair_indicator,benign_filename,malicious_filename,flip_to_benign
23,attn,5.5859375,5.71875,0.1328125,2.3776223776223775,1,-EncodedCommand,1735.ps1,3321.ps1,False
20,mlp,5.5859375,5.734375,0.1484375,2.6573426573426575,1,-EncodedCommand,1735.ps1,3321.ps1,False
29,attn,5.5859375,5.7578125,0.171875,3.076923076923077,1,-EncodedCommand,1735.ps1,3321.ps1,False
19,mlp,5.5859375,5.828125,0.2421875,4.335664335664335,1,-EncodedCommand,1735.ps1,3321.ps1,False
22,mlp,5.5859375,5.8359375,0.25,4.475524475524476,1,-EncodedCommand,1735.ps1,3321.ps1,False
25,mlp,5.5859375,5.9140625,0.328125,5.874125874125874,1,-EncodedCommand,1735.ps1,3321.ps1,False
21,attn,5.5859375,5.921875,0.3359375,6.013986013986014,1,-EncodedCommand,1735.ps1,3321.ps1,False
18,attn,5.5859375,6.0078125,0.421875,7.5524475524475525,1,-EncodedCommand,1735.ps1,3321.ps1,False
3,attn,5.5859375,6.3125,0.7265625,13.006993006993007,1,-EncodedCommand,1735.ps1,3321.ps1,False
17,mlp,5.5859375,6.375,0.7890625,14.125874125874127,1,-EncodedCommand,1735.ps1,3321.ps1,False
26,attn,5.5859375,6.453125,0.8671875,15.524475524475525,1,-EncodedCommand,1735.ps1,3321.ps1,False
1,attn,5.5859375,6.5859375,1.0,17.902097902097903,1,-EncodedCommand,1735.ps1,3321.ps1,False
28,mlp,5.5859375,6.6796875,1.09375,19.58041958041958,1,-EncodedCommand,1735.ps1,3321.ps1,False
27,mlp,5.5859375,6.6875,1.1015625,19.72027972027972,1,-EncodedCommand,1735.ps1,3321.ps1,False
20,attn,5.5859375,6.71875,1.1328125,20.27972027972028,1,-EncodedCommand,1735.ps1,3321.ps1,False
22,attn,5.5859375,7.0546875,1.46875,26.293706293706293,1,-EncodedCommand,1735.ps1,3321.ps1,False
31,mlp,5.5859375,7.09375,1.5078125,26.99300699300699,1,-EncodedCommand,1735.ps1,3321.ps1,False
25,attn,5.5859375,8.0,2.4140625,43.21678321678321,1,-EncodedCommand,1735.ps1,3321.ps1,False
18,mlp,5.5859375,9.09375,3.5078125,62.7972027972028,1,-EncodedCommand,1735.ps1,3321.ps1,False
8,mlp,11.0,0.75,-10.25,-93.18181818181817,2,DownloadFile,2670.ps1,137.ps1,False
9,mlp,11.0,0.9375,-10.0625,-91.47727272727273,2,DownloadFile,2670.ps1,137.ps1,False
0,attn,11.0,1.0390625,-9.9609375,-90.55397727272727,2,DownloadFile,2670.ps1,137.ps1,False
7,mlp,11.0,1.0859375,-9.9140625,-90.1278409090909,2,DownloadFile,2670.ps1,137.ps1,False
0,mlp,11.0,1.6875,-9.3125,-84.6590909090909,2,DownloadFile,2670.ps1,137.ps1,False
6,mlp,11.0,2.09375,-8.90625,-80.9659090909091,2,DownloadFile,2670.ps1,137.ps1,False
4,mlp,11.0,2.2265625,-8.7734375,-79.75852272727273,2,DownloadFile,2670.ps1,137.ps1,False
7,attn,11.0,2.4453125,-8.5546875,-77.76988636363636,2,DownloadFile,2670.ps1,137.ps1,False
11,attn,11.0,2.78125,-8.21875,-74.7159090909091,2,DownloadFile,2670.ps1,137.ps1,False
5,mlp,11.0,3.28125,-7.71875,-70.17045454545455,2,DownloadFile,2670.ps1,137.ps1,False
1,mlp,11.0,3.439453125,-7.560546875,-68.73224431818183,2,DownloadFile,2670.ps1,137.ps1,False
12,attn,11.0,3.5234375,-7.4765625,-67.96875,2,DownloadFile,2670.ps1,137.ps1,False
12,mlp,11.0,3.5390625,-7.4609375,-67.82670454545455,2,DownloadFile,2670.ps1,137.ps1,False
3,mlp,11.0,3.7421875,-7.2578125,-65.98011363636364,2,DownloadFile,2670.ps1,137.ps1,False
13,attn,11.0,4.0390625,-6.9609375,-63.28125,2,DownloadFile,2670.ps1,137.ps1,False
14,attn,11.0,4.9296875,-6.0703125,-55.18465909090909,2,DownloadFile,2670.ps1,137.ps1,False
11,mlp,11.0,5.3203125,-5.6796875,-51.63352272727273,2,DownloadFile,2670.ps1,137.ps1,False
16,mlp,11.0,5.421875,-5.578125,-50.71022727272727,2,DownloadFile,2670.ps1,137.ps1,False
10,attn,11.0,5.5234375,-5.4765625,-49.78693181818182,2,DownloadFile,2670.ps1,137.ps1,False
9,attn,11.0,5.7265625,-5.2734375,-47.940340909090914,2,DownloadFile,2670.ps1,137.ps1,False
10,mlp,11.0,5.828125,-5.171875,-47.01704545454545,2,DownloadFile,2670.ps1,137.ps1,False
5,attn,11.0,5.953125,-5.046875,-45.88068181818182,2,DownloadFile,2670.ps1,137.ps1,False
8,attn,11.0,5.9609375,-5.0390625,-45.809659090909086,2,DownloadFile,2670.ps1,137.ps1,False
6,attn,11.0,6.046875,-4.953125,-45.028409090909086,2,DownloadFile,2670.ps1,137.ps1,False
15,attn,11.0,6.28125,-4.71875,-42.89772727272727,2,DownloadFile,2670.ps1,137.ps1,False
