patch_label,base_logit_diff,patched_logit_diff,delta_logit_diff,effect_pct,pair_idx,pair_indicator,benign_filename,malicious_filename,flip_to_benign
h12.28+h12.5+h12.4+h12.13,10.6328125,1.6953125,-8.9375,-84.0558412931668,22,DownloadFile,2670.ps1,1269.ps1,False
h12.28+h12.5+h12.4+h12.13,10.6328125,1.6953125,-8.9375,-84.0558412931668,22,DownloadFile,2670.ps1,1269.ps1,False
h12.28+h12.5+h12.4+h12.13,7.6640625,-0.484375,-8.1484375,-106.32008154943935,23,DownloadString,1113.ps1,3084.ps1,True
h12.28+h12.5+h12.4+h12.13,7.6640625,-0.484375,-8.1484375,-106.32008154943935,23,DownloadString,1113.ps1,3084.ps1,True
h12.28+h12.5+h12.4+h12.13,6.984375,0.6328125,-6.3515625,-90.93959731543623,24,DownloadString,1113.ps1,3278.ps1,False
h12.28+h12.5+h12.4+h12.13,6.984375,0.6328125,-6.3515625,-90.93959731543623,24,DownloadString,1113.ps1,3278.ps1,False
h12.28+h12.5+h12.4+h12.13,1.671875,-1.4921875,-3.1640625,-189.25233644859813,25,DownloadString,1113.ps1,2190.ps1,True
h12.28+h12.5+h12.4+h12.13,1.671875,-1.4921875,-3.1640625,-189.25233644859813,25,DownloadString,1113.ps1,2190.ps1,True
h12.28+h12.5+h12.4+h12.13,1.671875,-1.4921875,-3.1640625,-189.25233644859813,26,DownloadString,1113.ps1,3804.ps1,True
h12.28+h12.5+h12.4+h12.13,1.671875,-1.4921875,-3.1640625,-189.25233644859813,26,DownloadString,1113.ps1,3804.ps1,True
h12.28+h12.5+h12.4+h12.13,3.9453125,-0.6875,-4.6328125,-117.42574257425741,27,DownloadString,1113.ps1,2894.ps1,True
h12.28+h12.5+h12.4+h12.13,3.9453125,-0.6875,-4.6328125,-117.42574257425741,27,DownloadString,1113.ps1,2894.ps1,True
h12.28+h12.5+h12.4+h12.13,2.4609375,-0.8671875,-3.328125,-135.23809523809524,28,DownloadString,1113.ps1,3100.ps1,True
h12.28+h12.5+h12.4+h12.13,2.4609375,-0.8671875,-3.328125,-135.23809523809524,28,DownloadString,1113.ps1,3100.ps1,True
h12.28+h12.5+h12.4+h12.13,7.6484375,0.15625,-7.4921875,-97.95709908069459,29,DownloadString,1113.ps1,3438.ps1,False
