patch_label,pair_count,mean_delta,max_delta,min_delta,flip_rate,mean_base_logit_diff
contrastive_pre13_all,3,-0.4270833333333333,-0.421875,-0.4296875,0.0,1.4609375
contrastive_pre13_mean_delta,3,-0.4270833333333333,-0.421875,-0.4296875,0.0,1.4609375
contrastive_pre13_logit_readout,3,-0.005208333333333333,0.0,-0.015625,0.0,1.4609375
