layer,head,attention_delta,pair_idx,benign_filename,malicious_filename,pair_indicator
0,9,0.0020167529582977295,1,1735.ps1,3321.ps1,-EncodedCommand
0,11,0.001736023579724133,1,1735.ps1,3321.ps1,-EncodedCommand
0,24,0.001607659156434238,1,1735.ps1,3321.ps1,-EncodedCommand
0,5,0.0016012957785278559,1,1735.ps1,3321.ps1,-EncodedCommand
0,10,0.001450047828257084,1,1735.ps1,3321.ps1,-EncodedCommand
0,11,0.006474676541984081,2,2670.ps1,137.ps1,DownloadFile
0,27,0.0033738580532372,2,2670.ps1,137.ps1,DownloadFile
0,1,0.0028457297012209892,2,2670.ps1,137.ps1,DownloadFile
0,9,0.0025734584778547287,2,2670.ps1,137.ps1,DownloadFile
0,26,0.002258561085909605,2,2670.ps1,137.ps1,DownloadFile
0,1,0.008096963167190552,3,1113.ps1,450.ps1,DownloadString
0,25,0.005270244088023901,3,1113.ps1,450.ps1,DownloadString
0,27,0.005092660430818796,3,1113.ps1,450.ps1,DownloadString
0,26,0.004053671844303608,3,1113.ps1,450.ps1,DownloadString
0,24,0.003518305718898773,3,1113.ps1,450.ps1,DownloadString
0,11,0.0044013336300849915,4,1238.ps1,3537.ps1,FromBase64String
0,8,0.0017175115644931793,4,1238.ps1,3537.ps1,FromBase64String
0,1,0.0014922840055078268,4,1238.ps1,3537.ps1,FromBase64String
0,27,0.001250007888302207,4,1238.ps1,3537.ps1,FromBase64String
0,23,0.0006926136557012796,4,1238.ps1,3537.ps1,FromBase64String
0,19,0.0015012950170785189,5,1670.ps1,3780.ps1,FromBase64String
0,11,0.0011791088618338108,5,1670.ps1,3780.ps1,FromBase64String
0,28,0.0010857702000066638,5,1670.ps1,3780.ps1,FromBase64String
0,18,0.00057526386808604,5,1670.ps1,3780.ps1,FromBase64String
3,25,0.0004180723917670548,5,1670.ps1,3780.ps1,FromBase64String
0,11,0.001544577768072486,6,1444.ps1,2139.ps1,FromBase64String
0,14,0.0012794501380994916,6,1444.ps1,2139.ps1,FromBase64String
0,8,0.0012021735310554504,6,1444.ps1,2139.ps1,FromBase64String
0,28,0.001079280162230134,6,1444.ps1,2139.ps1,FromBase64String
0,27,0.00031313078943639994,6,1444.ps1,2139.ps1,FromBase64String
0,8,0.0007113040192052722,7,2781.ps1,2792.ps1,FromBase64String
0,23,0.0006601994391530752,7,2781.ps1,2792.ps1,FromBase64String
0,11,0.0006300578825175762,7,2781.ps1,2792.ps1,FromBase64String
0,17,0.0006167470710352063,7,2781.ps1,2792.ps1,FromBase64String
0,13,9.229220449924469e-05,7,2781.ps1,2792.ps1,FromBase64String
0,8,0.0007113040192052722,8,4207.ps1,3988.ps1,FromBase64String
0,23,0.0006601994391530752,8,4207.ps1,3988.ps1,FromBase64String
0,11,0.0006300578825175762,8,4207.ps1,3988.ps1,FromBase64String
0,17,0.0006167470710352063,8,4207.ps1,3988.ps1,FromBase64String
0,13,9.229220449924469e-05,8,4207.ps1,3988.ps1,FromBase64String
0,4,0.01047583483159542,9,1637.ps1,784.ps1,IEX
0,12,0.0066947550512850285,9,1637.ps1,784.ps1,IEX
0,9,0.006466954480856657,9,1637.ps1,784.ps1,IEX
0,28,0.005198377650231123,9,1637.ps1,784.ps1,IEX
0,11,0.00435385387390852,9,1637.ps1,784.ps1,IEX
0,11,0.004610477946698666,10,329.ps1,3335.ps1,Invoke-Expression
0,26,0.00458911107853055,10,329.ps1,3335.ps1,Invoke-Expression
0,24,0.004292808473110199,10,329.ps1,3335.ps1,Invoke-Expression
0,25,0.00386640103533864,10,329.ps1,3335.ps1,Invoke-Expression
0,9,0.0036792769096791744,10,329.ps1,3335.ps1,Invoke-Expression
0,11,0.004610477946698666,11,485.ps1,3387.ps1,Invoke-Expression
0,26,0.00458911107853055,11,485.ps1,3387.ps1,Invoke-Expression
0,24,0.004292808473110199,11,485.ps1,3387.ps1,Invoke-Expression
0,25,0.00386640103533864,11,485.ps1,3387.ps1,Invoke-Expression
0,9,0.0036792769096791744,11,485.ps1,3387.ps1,Invoke-Expression
0,11,0.004610477946698666,12,489.ps1,3955.ps1,Invoke-Expression
0,26,0.00458911107853055,12,489.ps1,3955.ps1,Invoke-Expression
0,24,0.004292808473110199,12,489.ps1,3955.ps1,Invoke-Expression
0,25,0.00386640103533864,12,489.ps1,3955.ps1,Invoke-Expression
0,9,0.0036792769096791744,12,489.ps1,3955.ps1,Invoke-Expression
0,11,0.004538633860647678,13,583.ps1,722.ps1,Invoke-Expression
0,26,0.004534597508609295,13,583.ps1,722.ps1,Invoke-Expression
0,24,0.004208577796816826,13,583.ps1,722.ps1,Invoke-Expression
0,1,0.0040360186249017715,13,583.ps1,722.ps1,Invoke-Expression
0,25,0.00391605868935585,13,583.ps1,722.ps1,Invoke-Expression
3,1,0.003803923027589917,14,1767.ps1,2019.ps1,Invoke-Expression
0,29,0.0029785011429339647,14,1767.ps1,2019.ps1,Invoke-Expression
0,28,0.0014227696228772402,14,1767.ps1,2019.ps1,Invoke-Expression
0,11,0.0012782810954377055,14,1767.ps1,2019.ps1,Invoke-Expression
1,2,0.0012224401580169797,14,1767.ps1,2019.ps1,Invoke-Expression
3,1,0.002463831100612879,15,3441.ps1,2789.ps1,Invoke-Expression
1,12,0.002058493671938777,15,3441.ps1,2789.ps1,Invoke-Expression
0,28,0.001989861950278282,15,3441.ps1,2789.ps1,Invoke-Expression
0,29,0.0013243920402601361,15,3441.ps1,2789.ps1,Invoke-Expression
2,6,0.0012782164849340916,15,3441.ps1,2789.ps1,Invoke-Expression
3,1,0.002463831100612879,16,586.ps1,3987.ps1,Invoke-Expression
1,12,0.002058493671938777,16,586.ps1,3987.ps1,Invoke-Expression
0,28,0.001989861950278282,16,586.ps1,3987.ps1,Invoke-Expression
0,29,0.0013243920402601361,16,586.ps1,3987.ps1,Invoke-Expression
2,6,0.0012782164849340916,16,586.ps1,3987.ps1,Invoke-Expression
0,1,0.012219144031405449,17,3784.ps1,1362.ps1,Invoke-WebRequest
0,28,0.005686589516699314,17,3784.ps1,1362.ps1,Invoke-WebRequest
0,26,0.005544762127101421,17,3784.ps1,1362.ps1,Invoke-WebRequest
0,24,0.005171171855181456,17,3784.ps1,1362.ps1,Invoke-WebRequest
0,27,0.004544497933238745,17,3784.ps1,1362.ps1,Invoke-WebRequest
0,11,0.002514491556212306,18,4058.ps1,3834.ps1,Invoke-WebRequest
0,29,0.0020606049802154303,18,4058.ps1,3834.ps1,Invoke-WebRequest
0,5,0.001973906997591257,18,4058.ps1,3834.ps1,Invoke-WebRequest
0,8,0.0012586847878992558,18,4058.ps1,3834.ps1,Invoke-WebRequest
0,10,0.0010713100200518966,18,4058.ps1,3834.ps1,Invoke-WebRequest
