layer,head,base_logit_diff,patched_logit_diff,delta_logit_diff,effect_pct,pair_idx,pair_indicator,benign_filename,malicious_filename,base_benign_logit_diff,flip_to_benign
0,11,9.0703125,8.1953125,-0.875,-9.646856158484066,13,DownloadFile,2670.ps1,3545.ps1,-2.7265625,False
12,4,10.6328125,3.0703125,-7.5625,-71.12417340191037,14,DownloadFile,2670.ps1,1946.ps1,-2.7265625,False
12,5,10.6328125,8.6328125,-2.0,-18.80969875091844,14,DownloadFile,2670.ps1,1946.ps1,-2.7265625,False
12,28,10.6328125,8.671875,-1.9609375,-18.442321822189566,14,DownloadFile,2670.ps1,1946.ps1,-2.7265625,False
0,11,10.6328125,10.171875,-0.4609375,-4.335047759000735,14,DownloadFile,2670.ps1,1946.ps1,-2.7265625,False
12,4,8.9921875,3.3828125,-5.609375,-62.38053866203301,15,DownloadFile,2670.ps1,3426.ps1,-2.7265625,False
12,28,8.9921875,7.2890625,-1.703125,-18.94005212858384,15,DownloadFile,2670.ps1,3426.ps1,-2.7265625,False
12,5,8.9921875,7.4921875,-1.5,-16.681146828844483,15,DownloadFile,2670.ps1,3426.ps1,-2.7265625,False
0,11,8.9921875,8.8984375,-0.09375,-1.0425716768027802,15,DownloadFile,2670.ps1,3426.ps1,-2.7265625,False
12,4,12.6953125,7.0078125,-5.6875,-44.800000000000004,16,DownloadFile,2670.ps1,1693.ps1,-2.7265625,False
12,28,12.6953125,11.3515625,-1.34375,-10.584615384615384,16,DownloadFile,2670.ps1,1693.ps1,-2.7265625,False
12,5,12.6953125,11.3984375,-1.296875,-10.215384615384615,16,DownloadFile,2670.ps1,1693.ps1,-2.7265625,False
0,11,12.6953125,12.671875,-0.0234375,-0.1846153846153846,16,DownloadFile,2670.ps1,1693.ps1,-2.7265625,False
12,4,10.7109375,3.59375,-7.1171875,-66.44784828592269,17,DownloadFile,2670.ps1,179.ps1,-2.7265625,False
12,28,10.7109375,8.6015625,-2.109375,-19.693654266958426,17,DownloadFile,2670.ps1,179.ps1,-2.7265625,False
12,5,10.7109375,8.8046875,-1.90625,-17.797228300510575,17,DownloadFile,2670.ps1,179.ps1,-2.7265625,False
0,11,10.7109375,10.2734375,-0.4375,-4.084609773887673,17,DownloadFile,2670.ps1,179.ps1,-2.7265625,False
12,4,9.890625,3.8046875,-6.0859375,-61.532385466034754,18,DownloadFile,2670.ps1,2294.ps1,-2.7265625,False
12,5,9.890625,8.328125,-1.5625,-15.797788309636651,18,DownloadFile,2670.ps1,2294.ps1,-2.7265625,False
12,28,9.890625,8.40625,-1.484375,-15.00789889415482,18,DownloadFile,2670.ps1,2294.ps1,-2.7265625,False
0,11,9.890625,9.5078125,-0.3828125,-3.8704581358609795,18,DownloadFile,2670.ps1,2294.ps1,-2.7265625,False
12,4,10.3125,3.265625,-7.046875,-68.33333333333333,19,DownloadFile,2670.ps1,2713.ps1,-2.7265625,False
12,28,10.3125,8.3671875,-1.9453125,-18.863636363636363,19,DownloadFile,2670.ps1,2713.ps1,-2.7265625,False
12,5,10.3125,8.484375,-1.828125,-17.727272727272727,19,DownloadFile,2670.ps1,2713.ps1,-2.7265625,False
0,11,10.3125,10.234375,-0.078125,-0.7575757575757576,19,DownloadFile,2670.ps1,2713.ps1,-2.7265625,False
12,4,9.0,2.7890625,-6.2109375,-69.01041666666666,20,DownloadFile,2670.ps1,2920.ps1,-2.7265625,False
12,28,9.0,7.25,-1.75,-19.444444444444446,20,DownloadFile,2670.ps1,2920.ps1,-2.7265625,False
12,5,9.0,7.3359375,-1.6640625,-18.489583333333336,20,DownloadFile,2670.ps1,2920.ps1,-2.7265625,False
0,11,9.0,9.1953125,0.1953125,2.170138888888889,20,DownloadFile,2670.ps1,2920.ps1,-2.7265625,False
12,4,7.171875,1.546875,-5.625,-78.43137254901961,21,DownloadFile,2670.ps1,1399.ps1,-2.7265625,False
12,5,7.171875,5.3125,-1.859375,-25.925925925925924,21,DownloadFile,2670.ps1,1399.ps1,-2.7265625,False
12,28,7.171875,5.7421875,-1.4296875,-19.934640522875817,21,DownloadFile,2670.ps1,1399.ps1,-2.7265625,False
0,11,7.171875,6.96875,-0.203125,-2.832244008714597,21,DownloadFile,2670.ps1,1399.ps1,-2.7265625,False
12,4,10.6328125,3.5859375,-7.046875,-66.2747979426892,22,DownloadFile,2670.ps1,1269.ps1,-2.7265625,False
12,5,10.6328125,8.703125,-1.9296875,-18.148420279206466,22,DownloadFile,2670.ps1,1269.ps1,-2.7265625,False
12,28,10.6328125,9.3125,-1.3203125,-12.417340191036002,22,DownloadFile,2670.ps1,1269.ps1,-2.7265625,False
0,11,10.6328125,10.7265625,0.09375,0.881704628949302,22,DownloadFile,2670.ps1,1269.ps1,-2.7265625,False
12,4,7.6640625,0.65625,-7.0078125,-91.43730886850153,23,DownloadString,1113.ps1,3084.ps1,-4.4375,False
12,5,7.6640625,5.8125,-1.8515625,-24.159021406727827,23,DownloadString,1113.ps1,3084.ps1,-4.4375,False
12,28,7.6640625,6.1875,-1.4765625,-19.26605504587156,23,DownloadString,1113.ps1,3084.ps1,-4.4375,False
0,11,7.6640625,7.0546875,-0.609375,-7.951070336391437,23,DownloadString,1113.ps1,3084.ps1,-4.4375,False
12,4,6.984375,1.3359375,-5.6484375,-80.87248322147651,24,DownloadString,1113.ps1,3278.ps1,-4.4375,False
12,5,6.984375,5.15625,-1.828125,-26.174496644295303,24,DownloadString,1113.ps1,3278.ps1,-4.4375,False
12,28,6.984375,5.625,-1.359375,-19.463087248322147,24,DownloadString,1113.ps1,3278.ps1,-4.4375,False
0,11,6.984375,7.0390625,0.0546875,0.7829977628635347,24,DownloadString,1113.ps1,3278.ps1,-4.4375,False
12,4,1.671875,-0.390625,-2.0625,-123.3644859813084,25,DownloadString,1113.ps1,2190.ps1,-4.4375,True
12,28,1.671875,1.046875,-0.625,-37.38317757009346,25,DownloadString,1113.ps1,2190.ps1,-4.4375,False
12,5,1.671875,1.4375,-0.234375,-14.018691588785046,25,DownloadString,1113.ps1,2190.ps1,-4.4375,False
0,11,1.671875,1.453125,-0.21875,-13.084112149532709,25,DownloadString,1113.ps1,2190.ps1,-4.4375,False
12,4,1.671875,-0.390625,-2.0625,-123.3644859813084,26,DownloadString,1113.ps1,3804.ps1,-4.4375,True
12,28,1.671875,1.046875,-0.625,-37.38317757009346,26,DownloadString,1113.ps1,3804.ps1,-4.4375,False
12,5,1.671875,1.4375,-0.234375,-14.018691588785046,26,DownloadString,1113.ps1,3804.ps1,-4.4375,False
0,11,1.671875,1.453125,-0.21875,-13.084112149532709,26,DownloadString,1113.ps1,3804.ps1,-4.4375,False
12,4,3.9453125,0.265625,-3.6796875,-93.26732673267327,27,DownloadString,1113.ps1,2894.ps1,-4.4375,False
12,28,3.9453125,2.7421875,-1.203125,-30.495049504950494,27,DownloadString,1113.ps1,2894.ps1,-4.4375,False
12,5,3.9453125,2.9765625,-0.96875,-24.554455445544555,27,DownloadString,1113.ps1,2894.ps1,-4.4375,False
0,11,3.9453125,3.8828125,-0.0625,-1.5841584158415842,27,DownloadString,1113.ps1,2894.ps1,-4.4375,False
12,4,2.4609375,0.015625,-2.4453125,-99.36507936507937,28,DownloadString,1113.ps1,3100.ps1,-4.4375,False
12,28,2.4609375,1.765625,-0.6953125,-28.253968253968253,28,DownloadString,1113.ps1,3100.ps1,-4.4375,False
12,5,2.4609375,2.0390625,-0.421875,-17.142857142857142,28,DownloadString,1113.ps1,3100.ps1,-4.4375,False
0,11,2.4609375,2.5234375,0.0625,2.5396825396825395,28,DownloadString,1113.ps1,3100.ps1,-4.4375,False
12,4,7.6484375,1.078125,-6.5703125,-85.90398365679265,29,DownloadString,1113.ps1,3438.ps1,-4.4375,False
12,5,7.6484375,5.9296875,-1.71875,-22.47191011235955,29,DownloadString,1113.ps1,3438.ps1,-4.4375,False
12,28,7.6484375,6.296875,-1.3515625,-17.67109295199183,29,DownloadString,1113.ps1,3438.ps1,-4.4375,False
0,11,7.6484375,7.34375,-0.3046875,-3.983656792645557,29,DownloadString,1113.ps1,3438.ps1,-4.4375,False
12,4,6.9609375,0.953125,-6.0078125,-86.30751964085297,30,DownloadString,1113.ps1,3062.ps1,-4.4375,False
12,28,6.9609375,5.5,-1.4609375,-20.98765432098765,30,DownloadString,1113.ps1,3062.ps1,-4.4375,False
